,popularity,original_title,cast,director,genres,production_companies,vote_average,release_year,budget_adj,revenue_adj,net_profit
12,6.118847,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,7.6,2015,13799993.9280026,33919845.9552677,20119852.027265098
13,5.984995,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,5.8,2015,80959964.3776156,224146025.095748,143186060.7181324
14,5.944927,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,7.4,2015,257599886.656049,1292632336.88177,1035032450.2257209
15,5.8984,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,7.4,2015,40479982.1888078,143299244.588332,102819262.3995242
16,5.749758,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,6.1,2015,44159980.5696085,299709578.207785,255549597.6381765
17,5.573184,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,Science Fiction|Action|Adventure,Marvel Studios,7.0,2015,119599947.376023,477113780.029936,357513832.653913
18,5.556818,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,6.8,2015,87399961.5440169,498963025.216268,411563063.6722511
19,5.476958,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,6.5,2015,147199935.232028,598481289.508232,451281354.276204
20,5.462138,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,6.2,2015,174799923.088033,192312729.942398,17512806.85436502
21,5.337064,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,Action|Drama,Escape Artists|Riche-Ludwig Productions,7.3,2015,27599987.8560053,84373003.7158783,56773015.859873
22,4.907832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,6.1,2015,101199955.472019,432851374.985395,331651419.513376
23,4.71040199999999,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,5.3,2015,36799983.8080071,524079119.045187,487279135.2371799
24,4.648046,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,7.3,2015,25759988.6656049,122678731.541358,96918742.87575309
25,4.566713,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,7.1,2015,137999939.280026,627743451.672881,489743512.39285505
26,4.564549,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,6.3,2015,62559972.4736121,198594430.13845,136034457.6648379
27,4.503789,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,7.6,2015,74519967.2112144,371497801.660967,296977834.44975257
28,4.062293,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,7.8,2015,18399991.9040035,81278719.3973634,62878727.49335989
29,3.968891,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,6.4,2015,56119975.3072108,286356245.923251,230236270.61604017
30,3.927333,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,6.4,2015,0.0,27006774.877019,27006774.877019
31,3.899557,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,6.6,2015,45079980.1648087,93903685.2423785,48823705.077569805
32,3.877764,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,6.8,2015,26679988.2608051,264505582.097543,237825593.8367379
33,3.64821,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,7.1,2015,36799983.8080071,149601569.335309,112801585.52730191
34,3.644541,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,6.2,2015,53359976.5216103,138157089.01088,84797112.4892697
35,3.557846,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,8.0,2015,5519997.57120106,32569603.0293746,27049605.45817354
36,3.358321,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,6.2,2015,0.0,20566197.1908732,20566197.1908732
37,3.339135,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,6.6,2015,160999929.160031,305371920.876354,144371991.716323
38,3.23737,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,6.3,2015,45999979.7600089,65836683.5118592,19836703.7518503
39,3.227329,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,7.3,2015,10119995.5472019,57110024.5915891,46990029.0443872
40,3.202719,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,7.7,2015,25759988.6656049,185504110.098191,159744121.4325861
41,3.080505,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,5.6,2015,82799963.568016,129164861.167461,46364897.599445
42,3.079522,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,6.9,2015,27599987.8560053,31686509.2179359,4086521.3619306013
43,3.053421,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,7.0,2015,68999969.6400133,99493456.5028791,30493486.86286579
44,3.025852,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,7.3,2015,22999989.8800044,39219376.6634742,16219386.783469804
45,3.023253,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,5.9,2015,9199995.95200178,13187080.9976843,3987085.0456825197
46,2.976436,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,6.9,2015,124199945.352024,339361177.121082,215161231.769058
47,2.968254,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,Drama|Mystery|Romance,Fox 2000 Pictures,6.2,2015,11039995.1424021,78671281.3846362,67631286.2422341
48,2.93234,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,5.3,2015,27599987.8560053,0.0,-27599987.8560053
49,2.885126,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,6.6,2015,3679998.38080071,8339346.45068756,4659348.06988685
50,2.883233,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,Romance|Drama,Killer Films|Film4|Number 9 Films,7.1,2015,10855995.2233621,37050347.8978469,26194352.6744848
51,2.814802,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,Comedy,Waverly Films|Warner Bros.,7.1,2015,32199985.8320062,178999419.480255,146799433.6482488
52,2.798017,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,6.7,2015,50599977.7360098,187153294.93255,136553317.1965402
53,2.793297,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,6.4,2015,55199975.7120106,93043293.3409509,37843317.62894031
54,2.614499,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,5.5,2015,96599957.4960187,123021159.990689,26421202.4946703
55,2.584264,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,6.3,2015,18399991.9040035,33678188.7415969,15278196.837593399
56,2.578919,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,6.2,2015,23919989.4752046,28081355.5642035,4161366.0889989026
57,2.575711,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,5.3,2015,55199975.7120106,27985062.8865723,-27214912.8254383
58,2.557859,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,7.3,2015,13799993.9280026,59056175.1752829,45256181.2472803
59,2.550747,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,5.0,2015,64399971.6640124,16332697.613613,-48067274.0503994
60,2.487849,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,7.1,2015,27599987.8560053,77303716.7063646,49703728.850359306
61,2.487042,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),4.4,2015,110399952.34402,154539320.322699,44139367.978679016
62,2.46449,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,5.8,2015,3219998.58320062,37190013.0363942,33970014.45319358
63,2.404473,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,6.9,2015,59799973.6880115,216812826.082356,157012852.3943445
64,2.395366,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,6.7,2015,46091979.7195289,141645863.63582,95553883.9162911
65,2.354654,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,5.5,2015,32199985.8320062,75759810.1856835,43559824.3536773
66,2.345821,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,6.4,2015,91999959.5200178,86315059.3813738,-5684900.13864401
67,2.331636,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,5.4,2015,18399991.9040035,0.0,-18399991.9040035
68,2.331567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,7.3,2015,32199985.8320062,126900665.803707,94700679.9717008
69,2.31767,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,6.1,2015,32199985.8320062,129532072.565888,97332086.7338818
70,2.29573,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,7.2,2015,11959994.7376023,30220316.9030605,18260322.165458202
71,2.28135,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),6.7,2015,22999989.8800044,39535137.0845396,16535147.204535201
72,2.272044,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,Thriller,Furthur Films,5.5,2015,0.0,42223.3814217121,42223.3814217121
73,2.234573,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,5.9,2015,137999939.280026,118117202.42843,-19882736.851595983
74,2.165433,Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,Action|Adventure|Fantasy,Arrowstorm Entertainment,5.1,2015,0.0,0.0,0.0
75,2.141506,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,Comedy|Drama,Indian Paintbrush,7.7,2015,0.0,0.0,0.0
76,2.140199,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,6.4,2015,91079959.9248176,226534364.284879,135454404.3600614
77,2.121884,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,6.9,2015,32199985.8320062,44733666.5571867,12533680.7251805
78,2.096273,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,6.1,2015,22999989.8800044,48204295.1101101,25204305.230105698
79,2.080935,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,4.8,2015,2299998.98800044,4796917.44935632,2496918.4613558804
80,2.070708,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,7.3,2015,31279986.236806,57972193.012235,26692206.775429
81,2.060162,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,6.8,2015,73599967.6160142,428888671.768984,355288704.15296984
82,2.055572,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,5.3,2015,15639993.118403,22079990.2848042,6439997.166401198
83,2.049886,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,6.8,2015,32199985.8320062,56287361.8735607,24087376.041554496
84,2.026651,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,5.9,2015,10119995.5472019,1714249.04573042,-8405746.50147148
85,2.000338,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,6.1,2015,28519987.4512055,96033410.7052992,67513423.2540937
86,1.984529,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,5.0,2015,32199985.8320062,87802915.846717,55602930.0147108
87,1.980039,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,5.1,2015,3679998.38080071,172142.964257095,-3507855.416543615
88,1.959765,Equals,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drake Doremus,Drama|Romance|Science Fiction,Scott Free Productions|Infinite Frameworks Studios|Freedom Media|Route One Entertainment,5.6,2015,0.0,1839999.19040035,1839999.19040035
89,1.95632,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Daniel Espinosa,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,5.9,2015,45999979.7600089,3058382.2543118,-42941597.5056971
90,1.926739,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,6.6,2015,4599997.97600089,54260336.8854517,49660338.90945081
91,1.904898,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,5.7,2015,45999979.7600089,221131463.342156,175131483.5821471
92,1.876037,Mythica: The Necromancer,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,A. Todd Smith,Fantasy|Action|Adventure,Arrowstorm Entertainment|Camera 40 Productions|Bellpond Films,5.4,2015,0.0,0.0,0.0
93,1.872696,Vice,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Brian A Miller,Thriller|Science Fiction|Action|Adventure,Grindstone Entertainment Group|K5 International|Emmett/Furla Films|Aperture Entertainment,4.1,2015,9199995.95200178,0.0,-9199995.95200178
94,1.865007,The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Mark Osborne,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,7.5,2015,58879974.0928114,89765510.5031753,30885536.410363905
95,1.841779,Alvin and the Chipmunks: The Road Chip,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Walt Becker,Adventure|Animation|Comedy|Family,Regency Enterprises|Fox 2000 Pictures|Sunswept Entertainment|Bagdasarian Productions|TSG Entertainment,5.7,2015,0.0,215055014.135793,215055014.135793
96,1.82313,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,Drama,Amazon Studios|Film Art Media|Apollo Media,6.9,2015,10975595.1707381,16872792.5759712,5897197.405233102
