,popularity,production_companies,vote_average,release_year,budget_adj,revenue_adj,net_profit
1612,0.426205,Twentieth Century Fox,4.1,2009,50820021.7062476,12973539.4376581,-37846482.2685895
1644,0.391859,Twentieth Century Fox,6.2,2009,152460065.118743,346726502.499023,194266437.38028002
1696,0.32232,Twentieth Century Fox,3.1,2009,101640043.412495,0.0,-101640043.412495
1946,1.888263,Twentieth Century Fox,5.8,2010,40000000.0,126248813.0,86248813.0
1948,1.874641,Twentieth Century Fox,6.2,2010,100000000.0,167805466.0,67805466.0
1956,1.618371,Twentieth Century Fox,5.9,2010,55000000.0,152263880.0,97263880.0
1971,1.325302,Twentieth Century Fox,5.9,2010,117000000.0,261930431.0,144930431.0
1978,1.203837,Twentieth Century Fox,5.0,2010,112000000.0,237382724.0,125382724.0
2045,0.756229,Twentieth Century Fox,5.2,2010,48000000.0,112462508.0,64462508.0
2098,0.552064999999999,Twentieth Century Fox,4.9,2010,50000000.0,83761844.0,33761844.0
2103,0.535535,Twentieth Century Fox,5.8,2010,70000000.0,134748021.0,64748021.0
2446,0.968204,Twentieth Century Fox,7.3,1999,13090528.4659432,16792285.1232296,3701756.6572864
2484,0.566661,Twentieth Century Fox,6.3,1999,32726321.164858,17017687.0057261,-15708634.1591319
2514,0.382872,Twentieth Century Fox,5.9,1999,30108215.4716694,24418567.8150245,-5689647.656644899
2521,0.257547,Twentieth Century Fox,5.9,1999,10472422.7727545,23357926.0728113,12885503.300056802
2566,0.323477,Twentieth Century Fox,6.6,1999,15708634.1591318,0.0,-15708634.1591318
2649,1.925281,Twentieth Century Fox,7.2,2001,64653126.1264267,220699214.322896,156046088.1964693
2650,1.862114,Twentieth Century Fox,5.5,2001,123148811.669384,446059453.537,322910641.867616
2669,1.065364,Twentieth Century Fox,6.3,2001,30787202.917346,79354442.845836,48567239.92849
2672,1.061903,Twentieth Century Fox,5.5,2001,49259524.6677537,173725856.213664,124466331.5459103
2679,0.913069,Twentieth Century Fox,4.9,2001,86204168.168569,216870406.934164,130666238.76559499
2680,0.90472,Twentieth Century Fox,5.9,2001,49259524.6677537,112992977.931609,63733453.26385531
2684,0.875298999999999,Twentieth Century Fox,6.4,2001,43102084.0842845,91817432.625593,48715348.54130851
2816,0.906593,Twentieth Century Fox,5.4,2001,0.0,0.0,0.0
2878,3.647612,Twentieth Century Fox,7.2,2008,25319665.8452291,229730967.409741,204411301.56451192
2901,1.682909,Twentieth Century Fox,5.8,2008,35447532.1833208,172173727.747558,136726195.5642372
2909,1.559851,Twentieth Century Fox,5.1,2008,81022930.7047334,236074344.818198,155051414.1134646
2915,1.468543,Twentieth Century Fox,6.3,2008,131662262.395191,50187630.8773527,-81474631.5178383
2965,0.865104999999999,Twentieth Century Fox,6.2,2008,86086863.8737792,300937408.975801,214850545.1020218
2984,0.748854,Twentieth Century Fox,5.4,2008,30383599.014275,69243648.916298,38860049.902023
3009,0.642656,Twentieth Century Fox,4.8,2008,60767198.02855,165493183.540839,104725985.51228899
3406,1.825552,Twentieth Century Fox,5.7,2011,53316892.3425309,181628117.584104,128311225.2415731
3409,1.710793,Twentieth Century Fox,6.5,2011,87245823.8332325,469804957.11383,382559133.28059745
3428,1.36998,Twentieth Century Fox,5.1,2011,0.0,0.0,0.0
3452,1.111078,Twentieth Century Fox,6.4,2011,48469902.1295736,116407101.61618,67937199.4866064
3544,0.656612,Twentieth Century Fox,5.4,2011,24234951.0647868,33872888.6510632,9637937.586276397
3604,0.475663,Twentieth Century Fox,5.4,2011,31020737.3629271,81056618.6620756,50035881.29914849
3801,0.164515,Twentieth Century Fox,7.0,2011,155103686.814635,333880181.432537,178776494.617902
3913,4.46751299999999,Twentieth Century Fox,6.9,2002,71523422.2236122,464607829.802379,393084407.5787668
3921,2.103595,Twentieth Century Fox,6.9,2002,123650662.149295,434441662.708633,310791000.559338
3952,1.165599,Twentieth Century Fox,7.1,2002,96980911.4896437,219421103.967658,122440192.47801432
4016,0.569956999999999,Twentieth Century Fox,6.0,2002,50914978.5320629,77320225.8782409,26405247.346177995
4022,0.54375,Twentieth Century Fox,5.8,2002,56976285.5001657,36371185.22554,-20605100.274625704
4134,0.177630999999999,Twentieth Century Fox,5.9,2002,0.0,0.0,0.0
4181,2.536898,Twentieth Century Fox,6.6,1994,44133346.8479448,515548317.850129,471414971.0021842
4186,1.843243,Twentieth Century Fox,6.6,1994,169177829.583788,557378295.308286,388200465.7244979
4204,0.951117,Twentieth Century Fox,6.4,1994,0.0,68060070.192617,68060070.192617
4217,0.764286,Twentieth Century Fox,5.7,1994,0.0,0.0,0.0
4245,0.528782,Twentieth Century Fox,5.8,1994,38248900.6015522,11782616.4925434,-26466284.109008804
4295,0.317848,Twentieth Century Fox,5.2,1994,0.0,8499959.02954301,8499959.02954301
4312,0.251549,Twentieth Century Fox,5.9,1994,73555578.0799081,24525643.7547415,-49029934.3251666
4368,4.008188,Twentieth Century Fox,6.2,2012,123466756.575791,382908536.776472,259441780.20068097
4375,3.135776,Twentieth Century Fox,6.2,2012,90225706.7284633,833158215.050597,742932508.3221337
4386,2.406976,Twentieth Century Fox,6.0,2012,42738492.660851,357238054.353865,314499561.693014
4418,1.459325,Twentieth Century Fox,6.5,2012,14246164.2202836,137712920.796075,123466756.57579139
4425,1.312488,Twentieth Century Fox,6.6,2012,61733378.2878959,261458379.83123,199725001.54333413
4442,1.116305,Twentieth Century Fox,5.3,2012,64582611.1319527,64837011.5346442,254400.4026914984
4512,0.627024,Twentieth Century Fox,6.1,2012,55085168.3184302,47834228.7838999,-7250939.534530297
4962,2.394195,Twentieth Century Fox,4.9,2003,92457506.2930371,212391152.622687,119933646.32964991
4964,1.830211,Twentieth Century Fox,5.6,2003,92457506.2930371,212492483.678879,120034977.38584189
4981,1.491266,Twentieth Century Fox,6.6,2003,177802896.717379,251307931.147132,73505034.429753
5012,0.876158,Twentieth Century Fox,5.8,2003,47414105.7913011,225468431.214223,178054325.4229219
5032,0.648946,Twentieth Century Fox,5.3,2003,21336347.6060855,120390264.319415,99053916.7133295
5047,0.556095,Twentieth Century Fox,4.8,2003,41487342.5673884,13703631.9679177,-27783710.5994707
5148,0.349751,Twentieth Century Fox,4.8,2003,65194395.463039,40098486.2098443,-25095909.253194705
5184,0.175002,Twentieth Century Fox,6.7,2003,130388790.926078,254790104.865777,124401313.93969898
5231,4.355219,Twentieth Century Fox,7.3,1997,271692064.214419,2506405735.41947,2234713671.205051
5241,2.064658,Twentieth Century Fox,5.9,1997,95092222.4750467,220070572.013679,124978349.5386323
5244,1.929641,Twentieth Century Fox,7.2,1997,71998397.0168211,189918659.471355,117920262.45453389
5245,1.623577,Twentieth Century Fox,5.2,1997,43470730.274307,107430458.718088,63959728.443781
5248,1.412516,Twentieth Century Fox,6.4,1997,4754611.12375233,350279159.520599,345524548.39684665
5257,1.172353,Twentieth Century Fox,4.4,1997,217353651.371535,223477680.157309,6124028.785773993
5265,0.999866,Twentieth Century Fox,5.0,1997,122261428.896488,0.0,-122261428.896488
5442,2.815499,Twentieth Century Fox,5.2,2013,86115068.452119,285166475.403851,199051406.95173198
5446,2.497001,Twentieth Century Fox,7.0,2013,84243001.7466382,176099064.153853,91856062.4072148
5465,1.874575,Twentieth Century Fox,6.4,2013,93603335.2740424,251256282.187846,157652946.9138036
5504,1.275381,Twentieth Century Fox,6.6,2013,40249434.1678382,148524324.698737,108274890.5308988
5588,0.734349,Twentieth Century Fox,6.4,2013,112324002.32885,388866326.012928,276542323.684078
6041,0.040858,Twentieth Century Fox,6.1,2013,54289934.4589446,41185467.5205786,-13104466.938365996
6083,1.753688,Twentieth Century Fox,6.6,1985,40543321.0453284,37364724.6753747,-3178596.3699536994
6086,1.613752,Twentieth Century Fox,6.3,1985,50679151.3066605,31425355.1848319,-19253796.121828604
6095,0.898411,Twentieth Century Fox,6.3,1985,20271660.5226642,116562048.005319,96290387.4826548
6100,0.76343,Twentieth Century Fox,6.5,1985,0.0,172943868.785595,172943868.785595
6119,0.587272999999999,Twentieth Century Fox,6.1,1985,50679151.3066605,196175345.809188,145496194.5025275
6139,0.354754,Twentieth Century Fox,6.7,1985,0.0,24941057.1062812,24941057.1062812
6200,2.368513,Twentieth Century Fox,5.6,2005,111656328.965449,369113178.539698,257456849.574249
6210,1.699822,Twentieth Century Fox,6.1,2005,35730025.2689438,95095059.1739463,59365033.905002505
6213,1.592578,Twentieth Century Fox,6.4,2005,145153227.655084,236312980.729345,91159753.07426098
6220,1.464718,Twentieth Century Fox,5.9,2005,83742246.724087,291084693.223677,207342446.49958998
6229,1.270018,Twentieth Century Fox,5.0,2005,48012221.4551432,63288555.7957283,15276334.340585105
6250,1.045798,Twentieth Century Fox,6.2,2005,27914082.2413623,136940703.678283,109026621.4369207
6256,0.982784,Twentieth Century Fox,5.8,2005,66993797.3792696,144239689.068387,77245891.6891174
6282,0.738384,Twentieth Century Fox,5.5,2005,50245348.0344522,18768327.9676884,-31477020.0667638
6331,0.516803,Twentieth Century Fox,5.1,2005,0.0,0.0,0.0
6464,0.198611,Twentieth Century Fox,6.1,2005,15631886.0551629,36450818.2343271,20818932.1791642
6560,3.145562,Twentieth Century Fox,6.4,2006,86533532.6633258,714919257.183175,628385724.5198492
6562,3.03143,Twentieth Century Fox,7.0,2006,37858420.540205,353220246.986172,315361826.445967
6566,2.313345,Twentieth Century Fox,6.2,2006,118983607.412073,621398207.739104,502414600.327031
6571,1.930735,Twentieth Century Fox,6.4,2006,19470044.8492483,282935169.834497,263465124.98524868
6593,1.296272,Twentieth Century Fox,4.8,2006,108166915.829157,269647254.707451,161480338.878294
6602,1.207359,Twentieth Century Fox,5.2,2006,0.0,153274968.62889,153274968.62889
6608,1.110072,Twentieth Century Fox,6.0,2006,19470044.8492483,44358894.149046,24888849.299797695
6609,1.109411,Twentieth Century Fox,6.2,2006,33531743.9070387,30286736.432164,-3245007.4748747014
6626,0.920528,Twentieth Century Fox,5.6,2006,43266766.3316629,149550563.219722,106283796.88805911
6639,0.848086,Twentieth Century Fox,6.1,2006,32450074.7487471,535753.97910929,-31914320.76963781
