,popularity,genres,vote_average,release_year,budget_adj,revenue_adj,net_profit
4024,0.534397,War,6.4,2002,42429148.7767191,36225576.872768,-6203571.903951101
4086,0.303609,War,5.3,2002,0.0,0.0,0.0
4151,0.137005,War,6.2,2002,13334875.329826,0.0,-13334875.329826
4195,1.253496,War,7.1,1994,44133346.8479448,236317718.023514,192184371.1755692
4241,0.563685,War,5.7,1994,58844462.4639265,35795563.1569524,-23048899.306974098
4284,0.352785,War,7.3,1994,0.0,1123704.15299207,1123704.15299207
4419,1.436895,War,6.3,2012,11396931.3762269,77188344.7381792,65791413.361952305
4425,1.312488,War,6.6,2012,61733378.2878959,261458379.83123,199725001.54333413
4478,0.799589999999999,War,5.3,2012,61733378.2878959,42554985.920041,-19178392.3678549
4512,0.627024,War,6.1,2012,55085168.3184302,47834228.7838999,-7250939.534530297
4523,0.592542,War,7.4,2012,0.0,0.0,0.0
4535,0.557044,War,6.8,2012,12346675.6575791,17375.5716273393,-12329300.08595176
4539,0.546014,War,5.5,2012,4748721.40676122,0.0,-4748721.40676122
4569,0.474818,War,6.0,2012,0.0,3178096.04763917,3178096.04763917
4653,0.331881,War,5.6,2012,0.0,0.0,0.0
4876,0.088796,War,5.8,2012,0.0,0.0,0.0
4976,1.622536,War,7.1,2003,165949370.269553,541420466.156522,375471095.88696903
4994,1.125044,War,6.4,2003,82974685.1347769,101504660.569528,18529975.434751093
5065,0.469518,War,5.8,2003,66379748.1078215,15319421.7186001,-51060326.3892214
5077,0.43362,War,6.6,2003,41487342.5673884,0.0,-41487342.5673884
5122,0.317456,War,6.7,2003,924575.062930371,0.0,-924575.062930371
5144,0.249204,War,6.7,2003,0.0,0.0,0.0
5190,0.154678,War,5.5,2003,0.0,0.0,0.0
5193,0.146885,War,6.7,2003,0.0,0.0,0.0
5277,0.824965,War,6.9,1997,95092222.4750467,178580044.897113,83487822.4220663
5466,1.821423,War,7.4,2013,37441334.1096169,139745661.953426,102304327.8438091
5544,0.942674,War,5.3,2013,0.0,0.0,0.0
5784,0.299109,War,6.1,2013,0.0,0.0,0.0
5829,0.249031,War,6.4,2013,0.0,0.0,0.0
5835,0.234543,War,7.1,2013,0.0,0.0,0.0
5864,0.213141,War,6.0,2013,0.0,0.0,0.0
6065,0.010335,War,5.5,2013,28081000.5822127,63771501.1541291,35690500.5719164
6089,1.177428,War,6.2,1985,89195306.2997226,608961557.836567,519766251.53684443
6185,0.215817,War,5.0,1985,4885470.18596207,21803077.0353507,16917606.84938863
6213,1.592578,War,6.4,2005,145153227.655084,236312980.729345,91159753.07426098
6236,1.148377,War,6.4,2005,80392556.8551235,108183814.901497,27791258.0463735
6328,0.538043,War,6.5,2005,89325063.1723595,11351542.9173989,-77973520.2549606
6408,0.207288,War,6.2,2005,0.0,0.0,0.0
6436,0.270053,War,3.9,2005,27914082.2413623,0.0,-27914082.2413623
6610,1.103135,War,6.7,2006,97350224.2462415,71282266.867035,-26067957.379206493
6656,0.723825,War,6.9,2006,20551714.0075398,74281712.7279252,53729998.720385395
6717,0.508401,War,6.6,2006,10816691.5829157,7763294.22774825,-3053397.3551674495
6718,0.501431,War,6.5,2006,7030849.52889522,24758344.8341806,17727495.30528538
6734,0.437529,War,5.8,2006,34613413.0653303,6397973.55773209,-28215439.507598206
6776,0.345569,War,4.9,2006,0.0,0.0,0.0
6861,0.20754,War,6.7,2006,15684202.7952278,24839127.1319293,9154924.336701501
6969,3.177517,War,6.8,2004,202027944.967126,574232515.462641,372204570.495515
7009,1.319068,War,5.6,2004,178939036.970883,193136628.151289,14197591.180405974
7023,1.06218,War,6.1,2004,138533447.977457,235007976.063267,96474528.08581
7031,0.94856,War,5.9,2004,167394582.972761,29807735.199779,-137586847.772982
7052,0.787185,War,7.2,2004,20202794.4967126,43868925.1928616,23666130.696149003
7058,0.756105,War,6.9,2004,54258933.7911709,0.0,-54258933.7911709
7106,0.47802,War,5.9,2004,0.0,0.0,0.0
7110,0.457793,War,5.9,2004,6234005.1589856,0.0,-6234005.1589856
7347,0.28902,War,6.4,1980,0.0,19067922.9696364,19067922.9696364
7363,0.176667,War,5.9,1980,0.0,0.0,0.0
7401,2.191408,War,7.0,2007,68358457.8710504,444446100.355053,376087642.4840026
7510,0.611445,War,6.0,2007,5468676.62968403,15484045.7143506,10015369.084666569
7616,0.385371,War,6.0,2007,0.0,0.0,0.0
7638,0.320907,War,4.9,2007,70461795.0363136,26610410.1097321,-43851384.926581495
7669,0.263249,War,6.9,2007,0.0,0.0,0.0
7760,0.138624,War,5.4,2007,0.0,0.0,0.0
7826,2.31952,War,7.8,1979,94643451.0788001,250794662.469905,156151211.39110488
7863,0.195559,War,6.1,1979,0.0,0.0,0.0
7868,0.16432,War,5.5,1979,0.0,0.0,0.0
7912,0.603541,War,7.2,1984,30226205.3643957,72837369.5812705,42611164.2168748
7938,0.36224,War,5.1,1984,5352557.19994508,47884209.7043751,42531652.504430026
7962,0.215846,War,5.6,1984,0.0,0.0,0.0
8011,0.513390999999999,War,7.2,1983,0.0,0.0,0.0
8070,2.533323,War,7.5,1995,103029614.431701,300503042.092462,197473427.660761
8176,0.392875,War,6.0,1995,0.0,0.0,0.0
8194,0.319605,War,5.7,1995,0.0,0.0,0.0
8218,0.079703,War,6.6,1995,0.0,0.0,0.0
8222,0.194078,War,6.4,1995,50083840.3487438,21464503.0066044,-28619337.342139397
8281,0.651726,War,5.1,1992,7770121.27294478,19479633.4243266,11709512.151381819
8390,0.592041,War,7.0,1981,0.0,13747837.4314417,13747837.4314417
8426,0.193253,War,7.3,1981,83936678.1699885,0.0,-83936678.1699885
8484,1.044304,War,6.9,1996,37535851.9519268,322497509.079157,284961657.12723017
8504,0.745574,War,6.1,1996,63949969.9921716,140218397.488823,76268427.4966514
8641,0.087853,War,6.1,1996,0.0,0.0,0.0
8674,1.513108,War,6.7,2000,139292132.577745,272625527.537294,133333394.95954898
8678,1.22950499999999,War,6.1,2000,78510111.0892746,161662974.580958,83152863.49168341
8752,0.458778,War,5.8,2000,75977526.8605883,89906740.1183628,13929213.257774502
8754,0.437029,War,6.4,2000,12662921.1434313,0.0,-12662921.1434313
8838,0.157574,War,5.5,2000,0.0,0.0,0.0
8891,1.928258,War,7.0,1982,33894636.0382684,282936387.224976,249041751.18670762
8928,0.358107,War,6.7,1982,13557854.4153073,23225903.9078029,9668049.492495598
8974,2.170136,War,7.7,1998,93638682.8354809,644556400.785869,550917717.9503881
9009,0.992143,War,6.8,1998,69560164.3920715,131263461.396717,61703297.0046455
9092,0.577579,War,5.8,1998,100327160.180872,19487391.0831627,-80839769.0977093
9188,1.836091,War,7.1,1989,31661728.9027786,47190689.9741552,15528961.071376603
9203,0.724013,War,6.3,1989,24625789.1466055,283199561.94239,258573772.79578453
9212,0.544381999999999,War,6.5,1989,39577161.1284732,32842565.3951023,-6734595.7333709
9256,0.294611,War,7.4,1989,15830864.4513893,0.0,-15830864.4513893
9352,0.514489,War,6.2,1991,41628413.8901848,289951771.881415,248323357.99123022
9447,0.063844,War,6.0,1991,0.0,0.0,0.0
9457,1.183033,War,5.7,1988,116165134.454689,348524188.34683,232359053.892141
9499,0.427697,War,6.7,1988,0.0,0.0,0.0
9510,0.283003,War,4.9,1988,0.0,11420878.45181,11420878.45181
9547,0.137660999999999,War,5.9,1988,0.0,0.0,0.0
9550,0.206515,War,4.7,1988,0.0,5871590.69159558,5871590.69159558
9587,0.076438,War,4.6,1988,29502256.3694449,7730402.48084473,-21771853.88860017
9595,2.0267,War,7.7,1987,32624367.4470991,88964109.1657392,56339741.71864009
9611,1.011111,War,7.0,1987,24948045.6948404,237816996.10561,212868950.4107696
9636,0.46055,War,6.9,1987,72925056.6464568,0.0,-72925056.6464568
9695,0.274181,War,6.0,1987,0.0,0.0,0.0
9705,0.287418,War,6.2,1987,0.0,26558929.4908737,26558929.4908737
9712,0.077814,War,5.6,1987,0.0,0.0,0.0
9731,0.569422,War,6.9,1968,48271019.8350008,131648235.913638,83377216.0786372
9737,0.378658,War,5.6,1968,43882745.3045462,68958599.7642869,25075854.459740706
9746,0.166845,War,6.0,1968,0.0,0.0,0.0
9748,0.149294,War,6.3,1968,0.0,0.0,0.0
9804,0.02967,War,6.5,1974,0.0,132668.516655426,132668.516655426
9809,1.019569,War,7.2,1975,44570032.8926842,81036423.4412441,36466390.5485599
9814,0.537981,War,4.9,1975,0.0,0.0,0.0
9850,1.168767,War,7.5,1962,108126733.181427,504591421.513327,396464688.3319
9868,0.232756,War,6.9,1962,72084488.7876181,0.0,-72084488.7876181
9876,0.116961999999999,War,5.6,1962,0.0,0.0,0.0
9882,2.210475,War,7.7,1964,12654481.3385066,66367636.5857928,53713155.2472862
9893,0.306872,War,6.6,1964,0.0,0.0,0.0
9897,0.27553,War,6.8,1964,0.0,0.0,0.0
9943,0.363941,War,6.4,1971,0.0,0.0,0.0
9958,0.197685,War,7.0,1971,0.0,0.0,0.0
9960,0.13485,War,7.4,1971,0.0,0.0,0.0
9971,0.095445,War,6.1,1971,0.0,0.0,0.0
10015,0.512053,War,4.7,1990,16688985.4031458,0.0,-16688985.4031458
10078,0.747549,War,6.0,1990,38384666.4272353,0.0,-38384666.4272353
10113,0.754548,War,7.0,1961,43769167.2478239,210821488.910352,167052321.6625281
10118,0.30782,War,6.6,1961,0.0,0.0,0.0
10162,0.194948,War,4.9,1960,0.0,0.0,0.0
10172,0.256779,War,6.1,1960,0.0,0.0,0.0
10186,0.409794,War,5.7,1976,0.0,0.0,0.0
10210,0.456174,War,6.3,1976,0.0,0.0,0.0
10222,2.377288,War,8.1,1993,33208339.1573716,484941026.518066,451732687.3606944
10237,1.023326,War,6.6,1993,0.0,0.0,0.0
10245,0.873616,War,6.1,1993,37736749.0424677,201895871.629844,164159122.5873763
10304,0.467083,War,6.4,1993,0.0,37736749.0424677,37736749.0424677
10319,0.38106,War,6.5,1993,49812508.7360574,0.0,-49812508.7360574
10320,0.323442,War,4.5,1993,0.0,0.0,0.0
10409,0.485288,War,7.2,1967,163419093.494678,296115397.412356,132696303.91767803
10446,0.664326,War,7.5,1963,28480717.4862349,35600896.8577936,7120179.3715587
10474,1.522478,War,7.3,1986,11936438.4651729,275593594.111357,263657155.6461841
10500,0.669137,War,6.5,1986,29841096.1629323,84995433.3175838,55154337.1546515
10562,0.253984,War,4.4,1986,0.0,0.0,0.0
10582,0.090923,War,7.3,1986,0.0,0.0,0.0
10650,0.717333,War,6.8,1970,19657289.2036551,458295656.862359,438638367.65870386
10651,0.492877,War,6.7,1970,0.0,29205115.3882876,29205115.3882876
10653,0.467344,War,6.9,1970,67396420.1268176,504349877.282351,436953457.15553343
10656,0.381352,War,6.6,1970,143133147.244328,165954086.188788,22820938.944460005
10664,0.299819,War,6.7,1970,0.0,0.0,0.0
10691,1.282053,War,6.9,1965,96887891.7125557,773178594.14285,676290702.4302943
10696,0.118301,War,6.6,1965,0.0,0.0,0.0
10704,0.243896,War,6.2,1965,39862446.8760229,0.0,-39862446.8760229
10705,0.225062,War,5.7,1965,795.864824781708,0.0,-795.864824781708
10708,0.246816,War,7.2,1965,0.0,0.0,0.0
10712,0.160842,War,6.0,1965,0.0,0.0,0.0
10719,0.119918,War,5.2,1965,26298142.0362651,0.0,-26298142.0362651
10720,0.100102,War,4.5,1965,0.0,0.0,0.0
10730,0.575,War,6.1,1969,71331170.4137326,0.0,-71331170.4137326
10745,0.224638,War,5.1,1969,0.0,0.0,0.0
10747,0.14894,War,4.6,1969,0.0,0.0,0.0
10762,0.959754,War,7.4,1978,50140510.4237107,167135034.745702,116994524.3219913
10778,0.435312,War,6.6,1978,16713503.4745702,24167726.0242285,7454222.5496582985
10782,0.335197,War,5.4,1978,33427006.9491404,0.0,-33427006.9491404
10815,0.0655039999999999,War,5.8,1978,10028102.0847421,0.0,-10028102.0847421
10835,0.299911,War,7.0,1966,80616176.3075775,134360293.845962,53744117.53838448
10837,0.291704,War,5.5,1966,0.0,0.0,0.0
10843,0.252399,War,5.8,1966,0.0,0.0,0.0
10858,0.317824,War,5.5,1966,0.0,0.0,0.0
32,3.877764,Music,6.8,2015,26679988.2608051,264505582.097543,237825593.8367379
40,3.202719,Music,7.7,2015,25759988.6656049,185504110.098191,159744121.4325861
123,1.338481,Music,6.3,2015,13615994.0089626,112619962.887216,99003968.8782534
157,0.956096,Music,5.5,2015,16559992.7136032,38019285.0315145,21459292.317911305
170,0.880937999999999,Music,6.2,2015,5519997.57120106,10232318.2977799,4712320.726578839
175,0.848748,Music,6.7,2015,0.0,0.0,0.0
176,0.843174,Music,6.6,2015,0.0,0.0,0.0
195,0.738404,Music,7.5,2015,0.0,7740089.0743608,7740089.0743608
205,0.690479,Music,6.6,2015,9199995.95200178,9968887.45368952,768891.501687739
206,0.689578999999999,Music,5.1,2015,13799993.9280026,2779009.65723575,-11020984.27076685
216,0.640151,Music,7.3,2015,0.0,0.0,0.0
231,0.569443,Music,7.5,2015,0.0,0.0,0.0
267,0.470124,Music,5.9,2015,0.0,0.0,0.0
269,0.465707,Music,6.1,2015,0.0,12515171.2533246,12515171.2533246
274,0.450872,Music,5.6,2015,11959994.7376023,1515044.29338051,-10444950.444221789
284,0.439597999999999,Music,5.4,2015,0.0,0.0,0.0
287,0.435582,Music,5.7,2015,4599997.97600089,2146988.33532513,-2453009.6406757603
308,0.396791,Music,6.8,2015,0.0,763718.343963928,763718.343963928
339,0.350858,Music,6.3,2015,0.0,0.0,0.0
365,0.322653,Music,5.9,2015,0.0,0.0,0.0
404,0.264997,Music,6.0,2015,0.0,0.0,0.0
425,0.243691,Music,6.4,2015,0.0,0.0,0.0
436,0.22758,Music,7.7,2015,0.0,0.0,0.0
450,0.215386,Music,5.5,2015,0.0,0.0,0.0
453,0.21254,Music,6.2,2015,0.0,0.0,0.0
455,0.209036,Music,7.6,2015,0.0,0.0,0.0
488,0.253949,Music,6.9,2015,3127998.6236806,0.0,-3127998.6236806
496,0.162526,Music,7.5,2015,0.0,0.0,0.0
502,0.154161,Music,4.7,2015,0.0,0.0,0.0
504,0.150713,Music,6.4,2015,0.0,0.0,0.0
539,0.11303,Music,7.2,2015,0.0,0.0,0.0
564,0.093212,Music,7.3,2015,0.0,0.0,0.0
598,0.049351,Music,5.7,2015,0.0,0.0,0.0
650,4.780419,Music,8.2,2014,3039600.46754581,12888912.7349127,9849312.26736689
673,2.996038,Music,5.6,2014,46054552.5385729,196102469.537216,150047916.9986431
692,2.303556,Music,6.7,2014,41449097.2847156,79366405.4145416,37917308.129826
724,1.58801,Music,6.1,2014,59870918.3001448,123262077.115584,63391158.8154392
803,0.797723,Music,6.7,2014,36843642.0308583,62032730.9704891,25189088.9396308
841,0.648465,Music,6.3,2014,0.0,29393487.3336164,29393487.3336164
855,0.600919,Music,6.8,2014,0.0,0.0,0.0
880,0.5415,Music,7.2,2014,0.0,26381683.5518007,26381683.5518007
922,0.449196,Music,6.1,2014,0.0,0.0,0.0
961,0.378725,Music,6.7,2014,0.0,0.0,0.0
969,0.360228,Music,6.7,2014,0.0,0.0,0.0
1003,0.362439,Music,6.0,2014,0.0,929951.946679881,929951.946679881
1005,0.318608,Music,5.4,2014,0.0,0.0,0.0
1073,0.240398,Music,7.1,2014,4605455.25385729,0.0,-4605455.25385729
1092,0.345226,Music,7.4,2014,0.0,25982.1363601613,25982.1363601613
1120,0.376205,Music,5.0,2014,11053092.6092575,0.0,-11053092.6092575
1148,0.179072,Music,4.7,2014,0.0,0.0,0.0
1152,0.226614,Music,6.5,2014,0.0,0.0,0.0
1168,0.163139,Music,6.9,2014,0.0,0.0,0.0
1175,0.156677,Music,4.8,2014,0.0,0.0,0.0
1225,0.097531,Music,8.1,2014,0.0,0.0,0.0
1241,0.135376,Music,5.7,2014,0.0,0.0,0.0
1261,0.03551,Music,7.6,2014,690818.288078594,0.0,-690818.288078594
1268,0.069212,Music,5.4,2014,0.0,60294.6201834997,60294.6201834997
1287,0.042677,Music,6.9,2014,0.0,0.0,0.0
1293,0.036904,Music,6.0,2014,0.0,0.0,0.0
1297,0.023903,Music,6.4,2014,0.0,0.0,0.0
1322,0.004853,Music,8.3,2014,0.0,0.0,0.0
1340,0.602862,Music,6.3,1977,12592233.6139962,853081315.967563,840489082.3535669
1341,0.560826,Music,6.2,1977,12232455.5107391,111758008.930412,99525553.41967289
1346,0.434509,Music,5.6,1977,0.0,0.0,0.0
1402,2.463982,Music,6.5,2009,106722045.58312,271425431.47723,164703385.89411002
1452,1.080415,Music,5.3,2009,76230032.5593715,450407693.460134,374177660.90076256
1491,0.790326,Music,5.5,2009,20328008.682499,5296450.46541992,-15031558.217079079
1540,0.578317,Music,6.1,2009,0.0,0.0,0.0
1550,0.549975,Music,5.8,2009,35574015.1943733,158096289.101687,122522273.9073137
1588,0.472113,Music,5.0,2009,81312034.7299962,54708276.8129992,-26603757.916997008
1629,0.405828,Music,6.6,2009,60984026.0474972,0.0,-60984026.0474972
1640,0.394271,Music,4.8,2009,0.0,0.0,0.0
1687,0.333551,Music,5.3,2009,0.0,0.0,0.0
1745,0.356209,Music,7.6,2009,0.0,0.0,0.0
1765,0.235045,Music,5.9,2009,0.0,0.0,0.0
1769,0.232346,Music,6.6,2009,0.0,43757611.0605508,43757611.0605508
1774,0.226009,Music,6.4,2009,7114803.03887467,40109639.114829,32994836.075954325
1806,0.182403,Music,7.4,2009,0.0,1927343.22480683,1927343.22480683
1849,0.12035,Music,5.2,2009,0.0,0.0,0.0
1864,0.103773,Music,8.3,2009,0.0,0.0,0.0
1873,0.091154,Music,6.9,2009,0.0,0.0,0.0
1982,1.14644,Music,6.3,2010,10000000.0,2995811.0,-7004189.0
2001,1.009826,Music,5.4,2010,0.0,0.0,0.0
2066,0.6538,Music,5.5,2010,0.0,0.0,0.0
2268,0.224171,Music,7.7,2010,0.0,0.0,0.0
2272,0.218552,Music,6.2,2010,0.0,0.0,0.0
2315,0.171615,Music,7.3,2010,0.0,0.0,0.0
2334,0.145026,Music,8.4,2010,0.0,0.0,0.0
2357,0.104635,Music,6.4,2010,0.0,0.0,0.0
2386,0.06447,Music,6.9,2010,0.0,0.0,0.0
2401,0.067753,Music,8.6,2010,0.0,0.0,0.0
2440,1.076307,Music,7.0,1999,27490109.7784807,0.0,-27490109.7784807
2477,0.617279,Music,6.9,1999,104724227.727545,118959614.541535,14235386.813990012
2485,0.54872,Music,5.5,1999,0.0,0.0,0.0
2558,0.265105,Music,7.1,1999,0.0,0.0,0.0
2588,0.187628,Music,6.5,1999,0.0,0.0,0.0
2649,1.925281,Music,7.2,2001,64653126.1264267,220699214.322896,156046088.1964693
2699,0.693522,Music,5.9,2001,70194822.651549,20925325.3930263,-49269497.2585227
2755,0.405522,Music,6.4,2001,16009345.5170199,112112555.058294,96103209.5412741
2762,0.382563,Music,7.2,2001,0.0,0.0,0.0
2822,0.209579,Music,5.2,2001,27092738.5672645,0.0,-27092738.5672645
2830,0.254157,Music,5.4,2001,0.0,0.0,0.0
2908,1.561177,Music,6.4,2008,23294092.5776108,152745137.915207,129451045.33759621
2940,1.091878,Music,6.1,2008,0.0,0.0,0.0
2954,0.951793,Music,6.4,2008,9115079.7042825,33395562.6576655,24280482.953383
2956,0.938876,Music,6.2,2008,5063933.16904583,0.0,-5063933.16904583
3018,0.615524,Music,5.4,2008,15191799.5071375,8874937.86554001,-6316861.641597489
3035,0.560837,Music,5.8,2008,0.0,0.0,0.0
3094,0.473227,Music,6.2,2008,0.0,0.0,0.0
3129,0.349203,Music,6.9,2008,12153439.60571,0.0,-12153439.60571
3148,0.324091,Music,6.5,2008,0.0,190531.498271983,190531.498271983
3224,0.224721,Music,8.5,2008,0.0,0.0,0.0
3239,0.352054,Music,7.7,2008,202557.326761833,3.0383599014275,-202554.28840193158
3261,0.161594,Music,5.8,2008,0.0,0.0,0.0
3270,0.156088,Music,7.1,2008,0.0,0.0,0.0
3288,0.134056999999999,Music,6.9,2008,0.0,0.0,0.0
3302,0.11599,Music,6.3,2008,0.0,0.0,0.0
3328,0.07254,Music,5.4,2008,0.0,121091.808298125,121091.808298125
3332,0.161552,Music,7.4,2008,0.0,0.0,0.0
3359,0.020272,Music,4.7,2008,0.0,0.0,0.0
3365,0.002475,Music,8.4,2008,0.0,0.0,0.0
3367,0.003238,Music,5.9,2008,0.0,0.0,0.0
3479,0.954335,Music,5.8,2011,0.0,0.0,0.0
3482,0.93092,Music,5.8,2011,126021745.536891,145803733.7335,19781988.196609005
3490,0.904531,Music,5.5,2011,72704853.1943604,332208283.894033,259503430.6996726
3515,0.785489,Music,6.5,2011,23265553.0221953,61598777.7829479,38333224.7607526
