,popularity,cast,vote_average,release_year,budget_adj,revenue_adj,net_profit
539,0.11303,August Emerson,7.2,2015,0.0,0.0,0.0
5909,0.170939,Sacha Parkinson,4.4,2013,7488266.82192339,0.0,-7488266.82192339
875,0.55046,Emilia Jones,6.6,2014,0.0,0.0,0.0
7848,0.416453,Justin Henry,7.3,1979,24036432.0200127,319263908.305819,295227476.2858063
7911,0.606839,Justin Henry,6.7,1984,13643773.2547619,49717966.4144877,36074193.1597258
392,0.28337,Madeleine Kelly,3.9,2015,0.0,0.0,0.0
3297,0.133564,Larry the Cable Guy,4.4,2008,0.0,0.0,0.0
3355,0.142713,Larry the Cable Guy,6.2,2008,0.0,0.0,0.0
3393,2.454226,Larry the Cable Guy,5.8,2011,193879608.518294,542719816.822545,348840208.3042511
3591,0.493696,Larry the Cable Guy,5.8,2011,0.0,0.0,0.0
4554,0.495039,Larry the Cable Guy,4.9,2012,4748721.40676122,0.0,-4748721.40676122
4734,0.235178,Larry the Cable Guy,6.0,2012,0.0,0.0,0.0
6556,3.941265,Larry the Cable Guy,6.4,2006,129800298.994988,499712923.92372,369912624.92873204
6712,0.523073,Larry the Cable Guy,6.4,2006,0.0,0.0,0.0
7694,0.232949,Larry the Cable Guy,4.6,2007,12.6200229915785,0.0,-12.6200229915785
1869,0.097127,Kevin Heffernan,6.0,2009,0.0,0.0,0.0
2687,0.813396,Kevin Heffernan,6.7,2001,3694464.35008153,22773124.0526008,19078659.70251927
3079,0.44086,Kevin Heffernan,4.6,2008,0.0,6659357.72312601,6659357.72312601
6354,0.444301,Kevin Heffernan,5.8,2005,39079715.1379072,96437364.76325,57357649.625342794
7155,0.313479,Kevin Heffernan,5.1,2004,9812785.89840326,5774137.60619743,-4038648.292205831
4144,0.150417,Deborah Offner,6.0,2002,0.0,0.0,0.0
6065,0.010335,Philippe Reinhardt,5.5,2013,28081000.5822127,63771501.1541291,35690500.5719164
7380,0.086854,Jan Stuart Schwartz,7.3,1980,0.0,0.0,0.0
3195,0.265233,Julie Ferrier,4.9,2008,0.0,0.0,0.0
6885,0.155311999999999,Julie Ferrier,5.7,2006,0.0,0.0,0.0
2239,0.256392,Oded Fehr,3.5,2010,13000000.0,0.0,-13000000.0
2529,0.328409,Oded Fehr,5.3,1999,22253898.3921034,85788866.0080996,63534967.6159962
2643,2.449323,Oded Fehr,5.8,2001,120685835.435996,533250701.301695,412564865.865699
6979,2.17643,Oded Fehr,6.1,2004,51950042.9915466,149379272.025202,97429229.0336554
7502,0.665367,Oded Fehr,6.0,2007,47325086.2184195,155350204.060513,108025117.8420935
7985,0.082235,Ignacio LÃ³pez Tarso,6.4,1984,0.0,0.0,0.0
7817,0.020514,Kierstin Koppel,5.6,2007,0.0,0.0,0.0
7996,1.065331,John Putch,4.2,1983,44880895.9540419,192631115.158905,147750219.2048631
9136,0.212835,Brendan Dempsey,7.5,1998,0.0,0.0,0.0
9969,0.116365,Arthur Lowe,2.9,1971,0.0,0.0,0.0
8160,0.460215,Liliana Komorowska,5.9,1995,28619337.3421393,8273685.86442275,-20345651.47771655
8913,0.519602,Tammy Grimes,6.7,1982,0.0,14587189.3189415,14587189.3189415
3192,0.128712,Grazia Cesarini Sforza,6.6,2008,0.0,0.0,0.0
1900,0.026174,Don Bluth,6.9,2009,0.0,81.3120347299962,81.3120347299962
8022,0.363044,Linda Speciale,5.2,1983,0.0,0.0,0.0
1048,0.277049,Bryan Larkin,5.4,2014,0.0,0.0,0.0
917,0.460188,Alice Hunter,4.9,2014,2901436.80993009,0.0,-2901436.80993009
436,0.22758,Lisa Simone Kelly,7.7,2015,0.0,0.0,0.0
312,0.391326,Michael ParÃ©,5.4,2015,0.0,0.0,0.0
1597,0.452402,Michael ParÃ©,6.0,2009,0.0,0.0,0.0
1880,0.077477,Michael ParÃ©,3.5,2009,6098402.60474972,0.0,-6098402.60474972
2153,0.417035,Michael ParÃ©,3.6,2010,10000000.0,0.0,-10000000.0
3025,0.595424,Michael ParÃ©,5.8,2008,10127866.3380916,0.0,-10127866.3380916
3248,0.284963,Michael ParÃ©,4.0,2008,8102293.07047334,0.0,-8102293.07047334
4544,0.526637,Michael ParÃ©,4.6,2012,0.0,0.0,0.0
4570,0.473914,Michael ParÃ©,4.2,2012,0.0,0.0,0.0
7658,0.280613,Michael ParÃ©,3.3,2007,10516685.8263154,0.0,-10516685.8263154
7663,0.268526,Michael ParÃ©,3.4,2007,10516685.8263154,0.0,-10516685.8263154
7947,0.297597,Michael ParÃ©,6.7,1984,30436109.5683152,16979759.7772328,-13456349.7910824
7960,0.227768,Michael ParÃ©,5.8,1984,0.0,0.0,0.0
8055,0.147092,Michael ParÃ©,6.9,1983,0.0,10257139.0727606,10257139.0727606
8177,0.3856,Michael ParÃ©,5.3,1995,0.0,0.0,0.0
8653,0.099873,Michael ParÃ©,6.0,1996,9731517.17272177,1529238.41285627,-8202278.7598655
9037,0.643358,Michael ParÃ©,5.7,1998,0.0,0.0,0.0
10065,0.425943,Michael ParÃ©,4.8,1990,0.0,0.0,0.0
1367,0.288587,Janice Rule,6.1,1977,5396671.54885552,0.0,-5396671.54885552
9739,0.316852,Janice Rule,5.5,1968,0.0,0.0,0.0
2406,0.0637539999999999,ZÃ© Carlos Machado,6.4,2010,0.0,0.0,0.0
4864,0.105431,Brittany Ishibashi,7.1,2012,0.0,0.0,0.0
7214,0.173273,Mark Sheppard,5.5,2004,0.0,0.0,0.0
1000,0.324403,Adrian Holmes,4.0,2014,0.0,0.0,0.0
2111,0.524061,Adrian Holmes,5.3,2010,0.0,8020.0,8020.0
2194,0.32716,Adrian Holmes,5.7,2010,0.0,693181.0,693181.0
7641,0.316932,Adrian Holmes,5.4,2007,0.0,0.0,0.0
1535,0.59517,Ulrich Thomsen,5.8,2009,50820021.7062476,61148063.929961,10328042.223713405
2177,0.359688,Ulrich Thomsen,7.1,2010,15000000.0,0.0,-15000000.0
3219,0.447804,Ulrich Thomsen,5.0,2008,6785670.44652142,0.0,-6785670.44652142
3449,1.11981,Ulrich Thomsen,5.2,2011,38775921.7036588,85403967.5523087,46628045.8486499
3472,1.013771,Ulrich Thomsen,6.0,2011,33928931.4907015,27267877.6387014,-6661053.852000095
4040,0.472916,Ulrich Thomsen,5.6,2002,0.0,0.0,0.0
7468,0.915514,Ulrich Thomsen,5.9,2007,25240045.9831571,105130841.769205,79890795.7860479
207,0.689571,QuvenzhanÃ© Wallis,7.0,2015,2060799.09324839,0.0,-2060799.09324839
724,1.58801,QuvenzhanÃ© Wallis,6.1,2014,59870918.3001448,123262077.115584,63391158.8154392
4594,0.430256,QuvenzhanÃ© Wallis,6.6,2012,1709539.70643404,20046961.0557357,18337421.34930166
3785,0.195283,Vincent Grashaw,6.7,2011,16479.766724055,98137.9802397903,81658.21351573529
3250,0.180391,Catherine Marchal,6.2,2008,0.0,0.0,0.0
188,0.787968999999999,Tammy Blanchard,6.4,2015,0.0,213197.946192903,213197.946192903
1903,0.021121,Tammy Blanchard,5.6,2009,0.0,0.0,0.0
2123,0.498635,Tammy Blanchard,6.6,2010,5000000.0,5129058.0,129058.0
3207,0.248871,Tammy Blanchard,6.4,2008,0.0,0.0,0.0
6604,1.18228,Tammy Blanchard,5.9,2006,91941878.4547837,64801247.0780059,-27140631.37677779
6923,0.155835,Tammy Blanchard,6.8,2006,0.0,0.0,0.0
3211,0.244375,Dominic Monaghan,5.3,2008,0.0,0.0,0.0
3663,0.368965,Dominic Monaghan,4.6,2011,0.0,0.0,0.0
4901,0.053858,Dominic Monaghan,5.5,2012,0.0,0.0,0.0
7227,0.148092,Ghizala Avan,6.1,2004,0.0,0.0,0.0
487,0.176463,Lauren Ashley Carter,4.2,2015,0.0,0.0,0.0
3617,0.444519,Lauren Ashley Carter,5.9,2011,0.0,0.0,0.0
5658,0.489972,Lauren Ashley Carter,5.2,2013,0.0,0.0,0.0
854,0.602735,Tom Holland,6.8,2014,1842182.10154291,4269533.34764094,2427351.24609803
1628,0.405888,Tom Holland,6.5,2009,0.0,6250650.24217773,6250650.24217773
2212,0.29666,Tom Holland,5.1,2010,2500000.0,52604.0,-2447396.0
3496,0.863804,Tom Holland,6.5,2011,29081941.2777441,61830221.5656166,32748280.2878725
4378,2.892625,Tom Holland,6.8,2012,39889259.8167943,171214317.395041,131325057.57824668
5450,2.195536,Tom Holland,7.7,2013,0.0,81528925.3026663,81528925.3026663
5693,0.420185,Tom Holland,5.9,2013,0.0,1155302.90975328,1155302.90975328
5829,0.249031,Tom Holland,6.4,2013,0.0,0.0,0.0
6663,0.70435,Tom Holland,6.4,2006,37858420.540205,45499445.0496383,7641024.509433299
7488,0.756472,Tom Holland,6.4,2007,26291714.5657886,78073312.6582301,51781598.0924415
1894,0.043209,Cody Longo,5.4,2009,0.0,0.0,0.0
4157,0.111966,Nieve de Medina,6.5,2002,4849045.57448218,177477.492548835,-4671568.081933346
4112,0.235217,Leon Lamar,4.8,2002,0.0,0.0,0.0
6748,0.395831,Kate Maberly,6.6,2006,0.0,0.0,0.0
10334,0.542485,Kate Maberly,7.0,1993,0.0,0.0,0.0
8376,1.94717,Pamela Jean Bryant,6.1,1981,6714934.25359908,63022056.1608322,56307121.90723312
1807,0.181456,Tessie Santiago,3.4,2009,0.0,0.0,0.0
9542,0.246182,Ellen Greene,5.5,1988,7375564.09236123,6395668.7737424,-979895.3186188303
10505,0.557155,Ellen Greene,6.4,1986,49735160.2715539,77086305.4236192,27351145.1520653
10093,0.142836,Anji Xtravaganza,7.6,1990,834449.27015729,6307802.30094379,5473353.0307865
4725,0.218221,Tom Schilling,7.1,2012,284923.284405673,2612057.95339604,2327134.668990367
4117,0.229565,Artel Great,4.7,2002,0.0,0.0,0.0
10704,0.243896,Brad Dexter,6.2,1965,39862446.8760229,0.0,-39862446.8760229
4829,0.140016,Burkely Duffield,5.7,2012,0.0,0.0,0.0
5866,0.211825,Burkely Duffield,7.0,2013,4680166.76370212,0.0,-4680166.76370212
139,1.161812,Chris Pine,5.5,2015,0.0,109004.312038102,109004.312038102
673,2.996038,Chris Pine,5.6,2014,46054552.5385729,196102469.537216,150047916.9986431
699,2.141491,Chris Pine,5.9,2014,55265463.0462875,46560330.0821889,-8705132.964098603
1391,3.82957,Chris Pine,7.3,2009,152460065.118743,392005772.747905,239545707.629162
1523,0.619369,Chris Pine,5.7,2009,0.0,5897584.23977618,5897584.23977618
1948,1.874641,Chris Pine,6.2,2010,100000000.0,167805466.0,67805466.0
3257,0.168979,Chris Pine,6.4,2008,5063933.16904583,4092253.51912971,-971679.6499161203
4393,1.832434,Chris Pine,6.9,2012,137712920.796075,291516095.791208,153803174.99513304
4408,1.612069,Chris Pine,5.9,2012,61733378.2878959,0.0,-61733378.2878959
4466,0.901943,Chris Pine,6.6,2012,15195908.5016359,11809859.2953847,-3386049.2062512003
5435,3.877342,Chris Pine,7.4,2013,177846337.02068,437469458.167733,259623121.147053
6603,1.194602,Chris Pine,5.7,2006,30286736.432164,41276392.3218363,10989655.889672302
6862,0.207312,Chris Pine,6.3,2006,0.0,902606.400820511,902606.400820511
6071,0.004323,Bradley Mixon,7.5,2013,468.016676370212,0.0,-468.016676370212
137,1.178831,Richard T. Jones,5.5,2015,32199985.8320062,47545763.9998638,15345778.167857602
2563,0.25073,Richard T. Jones,7.6,1999,7854317.07956593,32804393.0766289,24950075.99706297
5243,1.949225,Richard T. Jones,6.2,1997,81507619.2643258,36234540.8913537,-45273078.3729721
6042,0.040535,Richard T. Jones,6.2,2013,0.0,0.0,0.0
1181,0.173667,Tom Brokaw,7.2,2014,0.0,0.0,0.0
900,0.487316,Nicholas Gunn,4.8,2014,0.0,0.0,0.0
1922,5.29318,Barbara Hershey,7.1,2010,13000000.0,327803731.0,314803731.0
1964,1.396973,Barbara Hershey,6.7,2010,1500000.0,97009150.0,95509150.0
2600,0.175782,Barbara Hershey,4.8,1999,15708634.1591318,0.0,-15708634.1591318
2787,0.293121,Barbara Hershey,6.2,2001,0.0,0.0,0.0
5014,0.872052,Barbara Hershey,6.7,2003,7112115.86869516,0.0,-7112115.86869516
5478,1.473406,Barbara Hershey,6.5,2013,4680166.76370212,0.0,-4680166.76370212
7176,0.266804,Barbara Hershey,4.2,2004,5772226.99906074,0.0,-5772226.99906074
7292,0.230608,Barbara Hershey,5.8,1972,3128736.55881737,0.0,-3128736.55881737
7385,0.03468,Barbara Hershey,6.5,1980,0.0,0.0,0.0
8232,0.132101,Barbara Hershey,7.0,1995,0.0,0.0,0.0
8511,0.692109,Barbara Hershey,6.3,1996,0.0,5133842.42143502,5133842.42143502
8926,0.37483,Barbara Hershey,6.1,1982,0.0,30002533.0591332,30002533.0591332
9515,0.35363,Barbara Hershey,6.7,1988,12907237.1616321,15439978.2125836,2532741.0509514995
9545,0.232779,Barbara Hershey,6.3,1988,0.0,105178984.65772,105178984.65772
10258,0.750847,Barbara Hershey,7.0,1993,37736749.0424677,61742744.9590495,24005995.916581802
10301,0.483052,Barbara Hershey,3.4,1993,0.0,4830303.87743587,4830303.87743587
10345,0.285641,Barbara Hershey,7.1,1993,0.0,8501464.63870383,8501464.63870383
10508,0.544756999999999,Barbara Hershey,6.7,1986,17904657.6977594,56911991.644493,39007333.946733594
10519,0.476819,Barbara Hershey,7.3,1986,12732201.0295178,79743448.1386616,67011247.10914379
3848,0.111553,Nadya Vall,6.5,2011,0.0,0.0,0.0
8615,0.273628,Yee Jee Tso,5.6,1996,6951083.69480127,58389103.0363306,51438019.34152933
9052,0.537708,Simon Fenton,5.2,1998,0.0,0.0,0.0
10340,0.29896,Simon Fenton,6.0,1993,0.0,14389618.6505278,14389618.6505278
1069,0.751476,Dominique Pinon,6.0,2014,4605455.25385729,3697062.36431177,-908392.8895455203
3363,0.007487,Dominique Pinon,4.5,2008,8102293.07047334,0.0,-8102293.07047334
5241,2.064658,Dominique Pinon,5.9,1997,95092222.4750467,220070572.013679,124978349.5386323
7058,0.756105,Dominique Pinon,6.9,2004,54258933.7911709,0.0,-54258933.7911709
904,0.480362,Tom Hopper,5.3,2014,0.0,0.0,0.0
3666,0.363036,Raad Rawi,6.3,2011,18515502.6134971,5552918.46974702,-12962584.14375008
4012,0.577778,Fele MartÃ­nez,5.5,2002,0.0,0.0,0.0
2987,0.730324,Geraldine McEwan,7.0,2008,0.0,0.0,0.0
2001,1.009826,Collins Pennie,5.4,2010,0.0,0.0,0.0
6030,0.097682,Michel Gondry,7.1,2013,0.0,0.0,0.0
5986,0.05438,RÃ¼diger Evers,8.4,2013,3744133.41096169,0.0,-3744133.41096169
6875,0.187319,Peter Minygululu ,5.9,2006,2163338.31658314,324500.747487471,-1838837.5690956688
7113,0.450274,Kristian Kiehling,4.9,2004,8312006.87864747,0.0,-8312006.87864747
1793,0.203707,Eric Bossick,5.3,2009,0.0,0.0,0.0
5990,0.097506,Melinda Y. Cohen,3.8,2013,3369720.06986552,0.0,-3369720.06986552
6933,0.072625,Mahnaz Zabihi,6.5,2006,2704.17289572893,0.0,-2704.17289572893
10332,0.333014,Claire Benito,7.1,1993,1132102.47127403,0.0,-1132102.47127403
1610,0.426762,Nona Gaye,6.9,2009,3760681.60626232,0.0,-3760681.60626232
6976,2.241935,Nona Gaye,6.4,2004,190483490.969004,353116829.412682,162633338.443678
4886,0.077044,Jelka van Houten,6.2,2012,0.0,264028.910215924,264028.910215924
10840,0.10253,Eva Renzi,5.7,1966,0.0,0.0,0.0
3715,0.286708,Rick Gonzalez,4.6,2011,0.0,0.0,0.0
6277,0.775677,Rick Gonzalez,7.3,2005,33496898.6896348,85606690.8045318,52109792.114897
6687,0.614854,Rick Gonzalez,5.1,2006,41103428.0150797,32350220.4603994,-8753207.554680299
9872,0.153654,Basil Rathbone,6.2,1962,0.0,0.0,0.0
376,0.300128,Roger R. Cross,4.5,2015,0.0,0.0,0.0
482,0.13631,Roger R. Cross,4.7,2015,8739996.15440169,0.0,-8739996.15440169
3069,0.469922,Roger R. Cross,5.9,2008,0.0,0.0,0.0
10073,0.235286,Charlotte Cornwell,6.7,1990,0.0,0.0,0.0
564,0.093212,Sabir Bamami,7.3,2015,0.0,0.0,0.0
894,0.501533,Shane Johnson,5.6,2014,0.0,0.0,0.0
2439,1.139223,Saffron Burrows,5.5,1999,78543170.7956593,96409422.5100276,17866251.7143683
2543,0.301533,Saffron Burrows,4.1,1999,39271585.3978296,0.0,-39271585.3978296
2752,0.414765,Saffron Burrows,5.9,2001,0.0,19340529.4930936,19340529.4930936
2923,1.354387,Saffron Burrows,6.4,2008,20255732.6761833,65651661.3549383,45395928.678755
7612,0.390284,Saffron Burrows,7.0,2007,21033371.6526309,23370503.1571616,2337131.504530702
7684,0.226953,Saffron Burrows,5.4,2007,0.0,0.0,0.0
8185,0.34562,Saffron Burrows,6.5,1995,0.0,0.0,0.0
8849,0.146148,Saffron Burrows,5.5,2000,5065168.45737255,0.0,-5065168.45737255
8871,0.316973,Saffron Burrows,5.8,2000,0.0,0.0,0.0
213,0.654046,Chris Messina,5.0,2015,3679998.38080071,131652.86207274,-3548345.51872797
437,0.22537,Chris Messina,6.1,2015,0.0,0.0,0.0
1444,1.14937,Chris Messina,6.5,2009,40656017.3649981,131665019.420363,91009002.05536489
2173,0.368927,Chris Messina,5.6,2010,10000000.0,33583175.0,23583175.0
2273,0.218279,Chris Messina,4.9,2010,0.0,1279.0,1279.0
2989,0.720175,Chris Messina,5.8,2008,40511465.3523667,85683451.714587,45171986.3622203
4503,0.657376,Chris Messina,6.9,2012,0.0,8669515.58292929,8669515.58292929
4782,0.182418,Chris Messina,6.1,2012,0.0,0.0,0.0
4800,0.166891,Chris Messina,5.8,2012,0.0,0.0,0.0
9177,0.037178,Robin Gammell,6.7,1998,0.0,0.0,0.0
5889,0.192249,Lorraine Ashbourne,7.1,2013,0.0,0.0,0.0
6941,0.065206,Lorraine Ashbourne,4.8,2006,0.0,0.0,0.0
9531,0.287435,Lorraine Ashbourne,6.8,1988,0.0,0.0,0.0
2184,0.189991,Gregg Gilmore,4.8,2010,0.0,0.0,0.0
9513,0.361962,Doran Clark,3.8,1988,0.0,0.0,0.0
5881,0.198091,Toby Murray,5.7,2013,0.0,0.0,0.0
366,0.32264,Rya Kihlstedt,5.3,2015,0.0,0.0,0.0
5245,1.623577,Rya Kihlstedt,5.2,1997,43470730.274307,107430458.718088,63959728.443781
6426,0.281544,Dominic Scott Kay,4.5,2005,0.0,0.0,0.0
565,0.100069,Elizabeth Keener,5.2,2015,0.0,0.0,0.0
10721,0.073488,Dorothy Provine,5.9,1965,0.0,0.0,0.0
138,1.164724,Stefanie Scott,6.3,2015,9199995.95200178,95959500.6978197,86759504.74581791
287,0.435582,Stefanie Scott,5.7,2015,4599997.97600089,2146988.33532513,-2453009.6406757603
4630,0.372274,Stefanie Scott,5.1,2012,0.0,0.0,0.0
3303,0.113456,Jean-Michel FÃªte,5.4,2008,0.0,0.0,0.0
3216,0.235312,Colby Johannson,3.5,2008,0.0,0.0,0.0
21,5.337064,Rachel McAdams,7.3,2015,27599987.8560053,84373003.7158783,56773015.859873
28,4.062293,Rachel McAdams,7.8,2015,18399991.9040035,81278719.3973634,62878727.49335989
94,1.865007,Rachel McAdams,7.5,2015,58879974.0928114,89765510.5031753,30885536.410363905
183,0.814206,Rachel McAdams,5.2,2015,34039985.0224065,24150007.7739965,-9889977.248410005
220,0.607124,Rachel McAdams,5.1,2015,0.0,7391.27674783823,7391.27674783823
839,0.660405,Rachel McAdams,6.3,2014,13816365.7615718,29064894.548891,15248528.7873192
1394,3.431559,Rachel McAdams,6.9,2009,91476039.0712458,532622976.829525,441146937.7582792
1456,1.04373799999999,Rachel McAdams,6.6,2009,60984026.0474972,89223892.8909091,28239866.843411908
1466,0.965516,Rachel McAdams,6.5,2009,39639616.9308731,102890004.535178,63250387.6043049
2041,0.778439999999999,Rachel McAdams,6.1,2010,40000000.0,58785180.0,18785180.0
3164,0.287248,Rachel McAdams,6.1,2008,0.0,0.0,0.0
3429,1.367727,Rachel McAdams,7.2,2011,29081941.2777441,146494675.096552,117412733.81880791
3972,0.92327,Rachel McAdams,5.5,2002,0.0,42528008.6933689,42528008.6933689
4394,1.821562,Rachel McAdams,6.9,2012,28492328.4405673,186258691.347354,157766362.90678668
4483,0.769618999999999,Rachel McAdams,5.6,2012,0.0,558083.9858868,558083.9858868
4490,0.728259,Rachel McAdams,4.9,2012,28492328.4405673,0.0,-28492328.4405673
5450,2.195536,Rachel McAdams,7.7,2013,0.0,81528925.3026663,81528925.3026663
6202,2.248624,Rachel McAdams,6.3,2005,44662531.5861797,318417880.063907,273755348.4777273
6298,0.67686,Rachel McAdams,6.2,2005,0.0,0.0,0.0
6356,0.441927,Rachel McAdams,6.1,2005,29030645.5310168,64639862.0017099,35609216.4706931
6966,3.425628,Rachel McAdams,7.5,2004,33478916.5945523,133457615.92248,99978699.32792771
6973,2.629934,Rachel McAdams,6.8,2004,19625571.7968065,148972948.804502,129347377.00769551
7605,0.402771,Rachel McAdams,6.2,2007,12620022.9915785,0.0,-12620022.9915785
3273,0.154248,Morgan Spurlock,5.9,2008,0.0,0.0,0.0
7178,0.263897,Morgan Spurlock,6.5,2004,75038.9509877896,32988367.3463733,32913328.39538551
4619,0.388099,Laura Brent,5.5,2012,0.0,0.0,0.0
6442,0.263334,Jacques BonnaffÃ©,6.3,2005,0.0,886109.092922965,886109.092922965
9311,0.065997,Sam Raimi,5.8,1989,228668.042075623,0.0,-228668.042075623
1813,0.236277,John DiMaggio,7.1,2009,0.0,0.0,0.0
2024,0.856837,John DiMaggio,7.6,2010,0.0,6629178.0,6629178.0
3032,0.574813,John DiMaggio,6.8,2008,0.0,0.0,0.0
3041,0.534059,John DiMaggio,6.9,2008,0.0,0.0,0.0
3727,0.273056,John DiMaggio,6.4,2011,0.0,0.0,0.0
5204,0.108463,John DiMaggio,6.5,2003,0.0,0.0,0.0
6062,0.01351,John DiMaggio,6.9,2013,0.0,0.0,0.0
6350,0.452035,John DiMaggio,7.0,2005,0.0,0.0,0.0
6366,0.41704,John DiMaggio,6.3,2005,0.0,0.0,0.0
7680,0.25062,John DiMaggio,6.4,2007,3680840.03921041,0.0,-3680840.03921041
7769,0.125117,John DiMaggio,7.3,2007,0.0,0.0,0.0
3189,0.268271,Philip Bolden,4.2,2008,0.0,0.0,0.0
6308,0.635481,Philip Bolden,5.4,2005,35730025.2689438,109332384.477849,73602359.2089052
7456,1.02603,Philip Bolden,5.2,2007,0.0,0.0,0.0
6326,0.548165999999999,Odessa Rae,6.8,2005,1060735.12517176,7840740.78168139,6780005.656509629
8456,0.150674,Peter Jones,6.5,1981,0.0,0.0,0.0
9851,0.823779,Lois Maxwell,6.9,1962,14416897.7575236,0.0,-14416897.7575236
1702,0.317069,Anthony Lemke,4.9,2009,0.0,0.0,0.0
4683,0.297944,Shandi Finnessey,3.5,2012,949744.281352245,0.0,-949744.281352245
1258,0.075351,Patricia Callahan,7.4,2014,0.0,177217.918168428,177217.918168428
2362,0.021645,Sushar Manaying,7.8,2010,0.0,0.0,0.0
8042,0.210827,Barbi Benton,3.8,1983,0.0,19464483.3387883,19464483.3387883
10852,0.22722,Paul Ford,6.0,1966,0.0,0.0,0.0
10858,0.317824,Paul Ford,5.5,1966,0.0,0.0,0.0
446,0.21789,Patrick Fischler,4.3,2015,0.0,0.0,0.0
4499,0.672243,Patrick Fischler,5.2,2012,37989771.2540898,35039600.5375552,-2950170.7165345997
509,0.145945,Alexandra Bard,4.1,2015,0.0,0.0,0.0
186,0.795762,Scoot McNairy,5.7,2015,25759988.6656049,6442077.28548599,-19317911.38011891
700,2.136758,Scoot McNairy,6.8,2014,46054552.5385729,205227928.585968,159173376.04739508
735,1.384508,Scoot McNairy,6.3,2014,0.0,1079112.51035076,1079112.51035076
737,1.375493,Scoot McNairy,7.1,2014,0.0,0.0,0.0
748,1.196549,Scoot McNairy,6.8,2014,0.0,594275.050683035,594275.050683035
756,1.052381,Scoot McNairy,6.0,2014,11283365.3719503,2114293.58303497,-9169071.78891533
2029,0.827664,Scoot McNairy,6.3,2010,500000.0,4242978.0,3742978.0
4471,0.836457,Scoot McNairy,5.7,2012,14246164.2202836,36024242.2227815,21778078.002497904
5862,0.2162,Scoot McNairy,5.4,2013,0.0,32781.7600796751,32781.7600796751
7781,0.004196,Scoot McNairy,5.5,2007,26291.7145657886,0.0,-26291.7145657886
2367,0.087585,Josh Fox,7.0,2010,0.0,0.0,0.0
2373,0.150035,Colton Osborne,2.1,2010,0.0,0.0,0.0
127,1.315266,Chiwetel Ejiofor,6.2,2015,17939992.1064034,29614535.8096042,11674543.703200802
139,1.161812,Chiwetel Ejiofor,5.5,2015,0.0,109004.312038102,109004.312038102
1399,2.979786,Chiwetel Ejiofor,5.6,2009,203280086.82499,782276248.083831,578996161.2588409
