,popularity,director,vote_average,release_year,budget_adj,revenue_adj,net_profit
4233,0.590765,Don Bluth,6.3,1994,41191123.7247485,16731688.8169482,-24459434.907800302
4251,0.48427,Don Bluth,4.2,1994,33835565.9167577,104990.289928137,-33730575.626829565
5244,1.929641,Don Bluth,7.2,1997,71998397.0168211,189918659.471355,117920262.45453389
8225,0.18332,Don Bluth,4.8,1995,40067072.278995,5700846.07346984,-34366226.20552516
8734,0.54656,Don Bluth,6.1,2000,94971908.5757354,46542103.1997682,-48429805.375967205
8911,0.555585,Don Bluth,7.3,1982,15817496.8178585,33139312.1512948,17321815.333436303
9226,0.4669,Don Bluth,6.3,1989,24273992.1587969,47668539.3406656,23394547.181868702
9361,0.44464,Don Bluth,5.3,1991,28819671.1547433,18664555.6791243,-10155115.475619
9462,1.101103,Don Bluth,6.9,1988,22679859.5840108,155736595.742013,133056736.15800221
10479,1.251215,Don Bluth,6.6,1986,0.0,168188400.765921,168188400.765921
4496,0.701851,Stuart Blumberg,5.6,2012,0.0,1012314.38435201,1012314.38435201
816,0.73558,Stephanie Soechtig,7.3,2014,0.0,0.0,0.0
470,0.197788,Charles de Lauzirika,5.5,2015,0.0,0.0,0.0
1286,0.190655,Jennifer M. Kroot,6.5,2014,0.0,0.0,0.0
5657,0.50375,Vincent Grashaw,6.7,2013,0.0,0.0,0.0
650,4.780419,Damien Chazelle,8.2,2014,3039600.46754581,12888912.7349127,9849312.26736689
2857,0.116784,Stephen Carpenter,4.5,2001,0.0,0.0,0.0
818,0.728025,Andrew Fleming,6.5,2014,5526546.30462875,13881.7632261766,-5512664.541402574
2589,0.187319,Andrew Fleming,5.7,1999,17017687.0057261,35998953.2813438,18981266.275617704
3261,0.161594,Andrew Fleming,5.8,2008,0.0,0.0,0.0
4325,0.265548,Andrew Fleming,5.9,1994,0.0,0.0,0.0
5115,0.331948,Andrew Fleming,5.5,2003,0.0,24229351.2754631,24229351.2754631
7690,0.237153,Andrew Fleming,5.6,2007,0.0,0.0,0.0
8512,0.690292,Andrew Fleming,6.2,1996,20853251.0844038,34434926.2483068,13581675.163903002
9535,0.265664,Andrew Fleming,4.9,1988,7375564.09236123,18064781.054536,10689216.96217477
6102,0.717479,Tom Holland,6.8,1985,18244494.4703978,50521512.7929381,32277018.322540298
8140,0.572794999999999,Tom Holland,5.9,1995,0.0,0.0,0.0
8507,0.708074,Tom Holland,5.1,1996,0.0,0.0,0.0
9465,0.891508,Tom Holland,6.2,1988,16595019.2078127,81493868.8779591,64898849.670146406
1699,0.319532,Stewart Hendler,5.3,2009,12705005.4265619,27652312.1788555,14947306.752293602
4617,0.392485,Stewart Hendler,6.5,2012,11871803.516903,0.0,-11871803.516903
7643,0.324065,Stewart Hendler,5.7,2007,12620022.9915785,5558275.63791849,-7061747.353660011
5880,0.198945,Mark Levinson,6.9,2013,0.0,0.0,0.0
4473,0.824694,Makoto Kamiya,6.2,2012,0.0,0.0,0.0
380,0.298751,Michael Polish,5.7,2015,4599997.97600089,4455281.1196763,-144716.8563245898
537,0.137954,Michael Polish,4.1,2015,2759998.78560053,0.0,-2759998.78560053
1714,0.300313,Michael Polish,4.5,2009,4573801.95356229,0.0,-4573801.95356229
5187,0.159996,Michael Polish,5.7,2003,0.0,0.0,0.0
6788,0.312609,Michael Polish,6.2,2006,14061699.0577904,12039939.3356669,-2021759.7221235
496,0.162526,Amy Berg,7.5,2015,0.0,0.0,0.0
1044,0.280105,Amy Berg,5.6,2014,0.0,0.0,0.0
4914,0.0798059999999999,Amy Berg,7.5,2012,0.0,0.0,0.0
6866,0.200935,Amy Berg,7.2,2006,0.0,217712.959835136,217712.959835136
2754,0.40848,Michel Gondry,5.7,2001,7388928.70016306,868578.420609101,-6520350.279553959
3030,0.578298,Michel Gondry,6.1,2008,0.0,0.0,0.0
3462,1.058342,Michel Gondry,5.4,2011,116327765.110976,220845594.279776,104517829.16880001
4726,0.249026,Michel Gondry,5.3,2012,0.0,0.0,0.0
6030,0.097682,Michel Gondry,7.1,2013,0.0,0.0,0.0
6500,0.151442,Michel Gondry,7.0,2005,3349689.86896348,13084552.9833287,9734863.11436522
6965,3.863377,Michel Gondry,7.8,2004,23088907.9962429,83418061.1597466,60329153.16350371
5493,1.333929,Destin Cretton,7.8,2013,0.0,1497653.36438467,1497653.36438467
855,0.600919,Iain Forsyth,6.8,2014,0.0,0.0,0.0
6686,0.620633,Chris Noonan,6.2,2006,32450074.7487471,37943051.4168189,5492976.668071803
8085,1.357131,Chris Noonan,5.9,1995,42929006.0132089,363658635.98521,320729629.9720011
437,0.22537,Chris Messina,6.1,2015,0.0,0.0,0.0
1159,0.168968,Jeff Tremaine,5.8,2014,0.0,0.0,0.0
2072,0.640516,Jeff Tremaine,6.5,2010,20000000.0,0.0,-20000000.0
3542,0.658652999999999,Jeff Tremaine,6.2,2011,0.0,0.0,0.0
3971,0.925495,Jeff Tremaine,6.2,2002,6061306.96810273,77926965.1302708,71865658.16216807
5500,1.291008,Jeff Tremaine,6.1,2013,14040500.2911063,142119382.629841,128078882.3387347
6680,0.638444,Jeff Tremaine,6.4,2006,11898360.7412073,78722488.1505847,66824127.409377396
7536,0.543629,Jeff Tremaine,6.1,2007,0.0,0.0,0.0
586,0.070776,James Healey,3.3,2015,9.19999595200178,0.0,-9.19999595200178
2422,1.810197,Ash Brannon,7.2,1999,117814756.193489,634910500.711404,517095744.51791495
7466,0.919967,Ash Brannon,5.9,2007,89391829.5236814,156745431.735719,67353602.2120376
3081,0.436406,Diane English,4.6,2008,16204586.1409466,50646974.1783971,34442388.03745049
5573,0.813456,Bruno Dequier,7.8,2013,0.0,0.0,0.0
6951,0.03626,Bryan Barber,5.5,2006,0.0,0.0,0.0
1672,0.356006,Sandy Collora,5.5,2009,431970.184503105,0.0,-431970.184503105
5114,0.333774,Sandy Collora,5.9,2003,0.0,0.0,0.0
570,0.083912,Jamal Hill,7.4,2015,1747999.23088033,0.0,-1747999.23088033
2228,0.27519,Morgan Spurlock,6.7,2010,3000000.0,103735.0,-2896265.0
3273,0.154248,Morgan Spurlock,5.9,2008,0.0,0.0,0.0
3878,0.277237,Morgan Spurlock,6.4,2011,0.0,602918.081987808,602918.081987808
4825,0.14271,Morgan Spurlock,5.1,2012,0.0,0.0,0.0
5914,0.168549,Morgan Spurlock,8.0,2013,9360333.52740424,0.0,-9360333.52740424
7178,0.263897,Morgan Spurlock,6.5,2004,75038.9509877896,32988367.3463733,32913328.39538551
1426,1.398364,Sam Raimi,6.1,2009,30492013.0237486,92332504.8314594,61840491.807710804
2559,0.143906,Sam Raimi,6.3,1999,65452642.3297161,0.0,-65452642.3297161
3916,3.241129,Sam Raimi,6.6,2002,168504333.713256,996125553.18518,827621219.471924
5520,1.094958,Sam Raimi,5.6,2013,187206670.548084,460405366.092004,273198695.54392004
6148,0.072899,Sam Raimi,5.4,1985,6081498.15679926,0.0,-6081498.15679926
7012,1.304553,Sam Raimi,6.4,2004,230889079.962429,904815446.895049,673926366.93262
7394,2.520912,Sam Raimi,5.8,2007,271330494.318938,936901700.22208,665571205.903142
8109,0.875995,Sam Raimi,6.2,1995,45790939.7474229,26547955.5633272,-19242984.184095696
8249,1.375348,Sam Raimi,7.2,1992,17094266.8004785,0.0,-17094266.8004785
8383,1.021218,Sam Raimi,7.2,1981,839366.781699885,70506809.6627903,69667442.88109042
8698,0.968941,Sam Raimi,6.2,2000,12662921.1434313,15206448.6685698,2543527.525138499
9090,0.375026,Sam Raimi,6.5,1998,0.0,0.0,0.0
9600,1.427206,Sam Raimi,7.5,1987,6908689.57703275,11366797.8741962,4458108.29716345
10028,0.429512,Sam Raimi,6.0,1990,26702376.6450332,81573260.6405633,54870883.9955301
3074,0.456683,Toshiyuki Kubooka,6.8,2008,3544753.21833208,0.0,-3544753.21833208
4648,0.2222,Christopher Neil,5.7,2012,2849232.84405673,0.0,-2849232.84405673
5606,0.674516,Chris Sivertson,5.0,2013,0.0,0.0,0.0
7482,0.811539,Chris Sivertson,3.8,2007,12620022.9915785,10117471.3806799,-2502551.610898601
8600,0.322048,Paul Sabella,4.8,1996,0.0,11984610.8567864,11984610.8567864
3811,0.169338,Marcus Graves,4.0,2011,0.0,0.0,0.0
2367,0.087585,Josh Fox,7.0,2010,0.0,0.0,0.0
1240,0.088805,Will Bakke,4.2,2014,0.0,0.0,0.0
5530,1.049952,Jeff Renfroe,5.2,2013,14976533.6438467,0.0,-14976533.6438467
534,0.124784,Josh Mond,5.2,2015,0.0,0.0,0.0
1037,0.289102,Ivan Kavanagh,5.7,2014,0.0,0.0,0.0
2449,0.934621,Daniel Myrick,6.3,1999,32726.321164858,324645105.955391,324612379.63422614
3150,0.319223,Daniel Myrick,5.6,2008,0.0,0.0,0.0
3213,0.242941,Daniel Myrick,5.7,2008,0.0,0.0,0.0
7858,0.255216,Michael Crichton,6.3,1979,18027324.0150095,0.0,-18027324.0150095
7967,0.190287,Michael Crichton,4.7,1984,0.0,0.0,0.0
8438,0.156406,Michael Crichton,4.2,1981,0.0,0.0,0.0
10598,0.971417,Michael Crichton,6.4,1973,0.0,0.0,0.0
10774,0.469314,Michael Crichton,6.1,1978,0.0,0.0,0.0
5769,0.313754,YÃ»dai Yamaguchi,4.5,2013,0.0,20274.4824203576,20274.4824203576
235,0.553238,Niki Caro,7.4,2015,0.0,42053235.7765762,42053235.7765762
5083,0.421807,Niki Caro,6.7,2003,9482821.15826022,49073599.4939966,39590778.33573638
6437,0.269437,Niki Caro,6.8,2005,39079715.1379072,28164462.626561,-10915252.511346199
4901,0.053858,Inon Shampanier,5.5,2012,0.0,0.0,0.0
1612,0.426205,Andrzej Bartkowiak,4.1,2009,50820021.7062476,12973539.4376581,-37846482.2685895
2728,0.510452,Andrzej Bartkowiak,5.0,2001,61574405.8346921,98468064.4959882,36893658.66129611
5019,0.796421,Andrzej Bartkowiak,5.9,2003,29633816.1195632,66960046.977896,37326230.8583328
6254,1.001465,Andrzej Bartkowiak,4.9,2005,66993797.3792696,62513387.3147021,-4480410.064567499
8677,1.235745,Andrzej Bartkowiak,5.8,2000,31657302.8585784,115279131.303348,83621828.4447696
8627,0.224628,Fraser Clarke Heston,5.2,1996,31974984.9960858,0.0,-31974984.9960858
10061,0.279122,Fraser Clarke Heston,5.3,1990,0.0,0.0,0.0
10290,0.521073,Fraser Clarke Heston,6.0,1993,0.0,0.0,0.0
2900,1.742288,Kathryn Bigelow,7.2,2008,15191799.5071375,42537038.619985,27345239.1128475
3991,0.72233,Kathryn Bigelow,6.0,2002,121226139.362054,42633979.7353536,-78592159.6267004
4414,1.554441,Kathryn Bigelow,6.5,2012,37989771.2540898,126145715.46611,88155944.2120202
8148,0.526485,Kathryn Bigelow,6.5,1995,60100608.4184925,11389481.7066626,-48711126.7118299
8746,0.47571,Kathryn Bigelow,5.1,2000,20260673.8294902,138190.458438266,-20122483.371051934
9324,1.231168,Kathryn Bigelow,6.7,1991,38426228.2063245,133742420.026213,95316191.8198885
9645,0.385445,Kathryn Bigelow,6.6,1987,9595402.19032326,0.0,-9595402.19032326
10033,0.411888,Kathryn Bigelow,5.4,1990,0.0,0.0,0.0
10836,0.239435,Charles Walters,5.8,1966,0.0,0.0,0.0
4356,0.073496,Harley Cokeliss,5.3,1994,0.0,0.0,0.0
10536,0.369463,Harley Cokeliss,5.6,1986,0.0,13204814.3635142,13204814.3635142
4758,0.210157,Rebecca Thomas,6.6,2012,0.0,0.0,0.0
627,0.030371,Rory Karpf,6.7,2015,0.0,0.0,0.0
1799,0.529037,Morgan J. Freeman,5.8,2009,1524600.65118743,0.0,-1524600.65118743
4133,0.17918,Morgan J. Freeman,5.2,2002,12122613.9362054,0.0,-12122613.9362054
9333,0.764796,Dan Aykroyd,5.3,1991,64043713.6772075,13576935.8733497,-50466777.8038578
1362,0.241629,J. Lee Thompson,5.6,1977,0.0,0.0,0.0
6096,0.887605,J. Lee Thompson,4.9,1985,25339575.6533302,482925.687133273,-24856649.96619693
7271,0.881814,J. Lee Thompson,6.1,1972,9386209.67645213,50581241.0342142,41195031.35776207
8435,0.166441,J. Lee Thompson,5.8,1981,0.0,0.0,0.0
9644,0.389118,J. Lee Thompson,4.6,1987,0.0,0.0,0.0
9855,0.61008,J. Lee Thompson,7.0,1962,0.0,0.0,0.0
10113,0.754548,J. Lee Thompson,7.0,1961,43769167.2478239,210821488.910352,167052321.6625281
10529,0.399032,J. Lee Thompson,4.9,1986,0.0,23772380.0760947,23772380.0760947
10599,0.876503,J. Lee Thompson,5.3,1973,8348971.28395882,43437217.4548504,35088246.170891576
10737,0.386778,J. Lee Thompson,6.2,1969,0.0,0.0,0.0
4828,0.140904,Dror Moreh,6.2,2012,0.0,0.0,0.0
1064,0.258209,Mark Atkins,3.0,2014,0.0,0.0,0.0
3489,0.907622,Mark Atkins,3.9,2011,0.0,0.0,0.0
3822,0.159707,Mark Atkins,2.1,2011,0.0,0.0,0.0
5878,0.19911,Mark Atkins,4.0,2013,46801.6676370212,0.0,-46801.6676370212
1808,0.180029,Larry Charles,5.2,2009,42688818.233248,0.0,-42688818.233248
3157,0.312842,Larry Charles,6.9,2008,0.0,0.0,0.0
4427,1.291798,Larry Charles,5.9,2012,61733378.2878959,170364685.658386,108631307.37049009
6571,1.930735,Larry Charles,6.4,2006,19470044.8492483,282935169.834497,263465124.98524868
5535,1.020237,Patrik Forsberg,4.4,2013,5616200.11644254,30363974.6971464,24747774.580703862
6543,0.063725,Emmanuel CarrÃ¨re,5.4,2005,0.0,0.0,0.0
1202,0.124685,Jocelyn Towne,4.8,2014,0.0,0.0,0.0
3800,0.179587,Oskar JÃ³nasson,5.1,2011,0.0,0.0,0.0
2345,0.130016,Eric Lavaine,5.0,2010,0.0,0.0,0.0
6878,0.100944,Eric Lavaine,4.2,2006,0.0,0.0,0.0
1343,0.520725,Robert Fiore,7.0,1977,0.0,0.0,0.0
695,2.260131,Mike Cahill,7.5,2014,0.0,309921.348035174,309921.348035174
3519,0.779536,Mike Cahill,6.8,2011,96939.8042591472,1722557.31081227,1625617.5065531228
7629,0.351775,Mike Cahill,6.3,2007,0.0,1080798.75070185,1080798.75070185
5323,0.471278,Bille August,6.8,1997,47546111.2375233,0.0,-47546111.2375233
5633,0.568314,Bille August,6.4,2013,7207456.81610127,0.0,-7207456.81610127
7727,0.188899,Bille August,7.0,2007,31550057.4789463,0.0,-31550057.4789463
7751,0.149692,Bille August,7.4,2007,0.0,0.0,0.0
9026,0.737255,Bille August,6.7,1998,0.0,18856584.7323732,18856584.7323732
10307,0.450208,Bille August,6.7,1993,37736749.0424677,9.05681977019225,-37736739.98564793
8424,0.210765,Umberto Lenzi,4.8,1981,0.0,0.0,0.0
2893,1.982998,Timur Bekmambetov,6.3,2008,75958997.5356875,261572412.016186,185613414.4804985
4398,1.73616,Timur Bekmambetov,5.5,2012,65532355.4133049,106623173.760465,41090818.34716009
315,0.383183,Adam Massey,4.9,2015,0.0,0.0,0.0
3757,0.237352,Jeffrey Donovan,6.6,2011,0.0,0.0,0.0
6520,0.111756,David van Eyssen,4.9,2005,0.0,0.0,0.0
146,1.065888,Alejandro AmenÃ¡bar,5.2,2015,0.0,16257405.7667414,16257405.7667414
1516,0.661609,Alejandro AmenÃ¡bar,6.6,2009,71148030.3887467,39681802.6308915,-31466227.75785519
2662,1.406682,Alejandro AmenÃ¡bar,7.1,2001,20935297.9837953,258547281.200582,237611983.21678668
835,0.676471,James Griffiths,5.8,2014,0.0,0.0,0.0
2440,1.076307,Trey Parker,7.0,1999,27490109.7784807,0.0,-27490109.7784807
5309,0.568327,Trey Parker,6.3,1997,1358460.32107209,0.0,-1358460.32107209
7059,0.73712,Trey Parker,6.5,2004,36942252.7939887,58769839.1441957,21827586.350207
10372,0.181665,Trey Parker,6.7,1993,188683.745212338,0.0,-188683.745212338
6839,0.249949,Bob Odenkirk,5.4,2006,4326676.63316629,5008176.8780021,681500.2448358098
7725,0.144703,Bob Odenkirk,4.9,2007,0.0,0.0,0.0
2138,0.449761,Gary Trousdale,6.4,2010,0.0,0.0,0.0
2644,2.217239,Gary Trousdale,6.5,2001,147778574.003261,229122951.404124,81344377.40086299
6366,0.41704,Gary Trousdale,6.3,2005,0.0,0.0,0.0
7518,0.582192,Gary Trousdale,5.7,2007,63100114.9578927,0.0,-63100114.9578927
8464,1.894423,Gary Trousdale,6.6,1996,139021673.896025,139214706.880446,193032.98442098498
9316,3.852269,Gary Trousdale,7.3,1991,40027321.0482546,604173269.306698,564145948.2584434
4782,0.182418,Matt Ross,6.1,2012,0.0,0.0,0.0
6591,1.363623,Steve 'Spaz' Williams,5.2,2006,86533532.6633258,40437169.5703534,-46096363.0929724
6182,0.390167,David Green,6.5,1985,0.0,17479760.2673426,17479760.2673426
9795,0.441423,David Green,5.2,1974,0.0,0.0,0.0
10040,0.37488,David Green,3.8,1990,36715767.8869207,0.0,-36715767.8869207
10812,0.318883,David Green,6.1,1978,0.0,18180705.0624867,18180705.0624867
3659,0.372627,Kat Coiro,5.2,2011,901540.179610069,29959.2465062894,-871580.9331037797
5684,0.433434,Kat Coiro,5.3,2013,0.0,3919.17164792415,3919.17164792415
5765,0.318589,Kat Coiro,5.7,2013,0.0,0.0,0.0
4613,0.400215,Javier Ruiz Caldera,5.5,2012,0.0,0.0,0.0
518,0.139526999999999,Scott Beck,3.9,2015,0.0,0.0,0.0
446,0.21789,Alistair Legrand,4.3,2015,0.0,0.0,0.0
1098,0.219679,Neil Berkeley,6.9,2014,0.0,0.0,0.0
4069,0.359055,Larry Shaw,5.1,2002,0.0,0.0,0.0
4931,0.004575,Zak Levitt,8.0,2012,0.0,0.0,0.0
4891,0.0683309999999999,Carine Tardieu,6.6,2012,0.0,0.0,0.0
396,0.278583,Jason Aron,5.8,2015,0.0,0.0,0.0
2719,0.560135,Tommy O'Haver,5.6,2001,12314881.1669384,0.0,-12314881.1669384
7001,1.473411,Tommy O'Haver,5.7,2004,35787807.3941766,31618836.0696767,-4168971.3244999014
7574,0.461116,Tommy O'Haver,7.2,2007,2103337.16526309,0.0,-2103337.16526309
3260,0.161881,Todd Kessler,7.1,2008,0.0,0.0,0.0
9029,0.710631,JesÃºs Salvador TreviÃ±o,6.2,1998,0.0,0.0,0.0
6761,0.370019,Colin Brady,5.6,2006,0.0,17985116.4487157,17985116.4487157
587,0.062536,Kirby Dick,7.8,2015,0.0,0.0,0.0
4948,0.001372,Kirby Dick,7.0,2012,0.0,0.0,0.0
6910,0.108272,Kirby Dick,6.9,2006,0.0,326857.704583389,326857.704583389
8411,0.302908,Saul Swimmer,8.5,1981,0.0,0.0,0.0
5967,0.129819,Duane Journey,4.9,2013,4212150.08733191,0.0,-4212150.08733191
209,0.669351,Mark Neveldine,4.5,2015,11959994.7376023,1641981.23752825,-10318013.50007405
1423,1.487114,Mark Neveldine,5.9,2009,20328008.682499,35127385.4664088,14799376.783909798
1436,1.267182,Mark Neveldine,5.6,2009,50820021.7062476,41498145.780688,-9321875.925559595
3420,1.481016,Mark Neveldine,4.7,2011,55255688.4277139,144651011.857676,89395323.4299621
6580,1.526073,Mark Neveldine,6.5,2006,12980029.8994988,46437182.983051,33457153.083552204
2783,0.300784,Sandra Goldbacher,7.0,2001,0.0,0.0,0.0
7786,0.104312,Sandra Goldbacher,6.2,2007,0.0,0.0,0.0
4175,0.063581,Nick Broomfield,6.3,2002,0.0,0.0,0.0
5151,0.241416,Nick Broomfield,7.3,2003,0.0,0.0,0.0
7616,0.385371,Nick Broomfield,6.0,2007,0.0,0.0,0.0
9162,0.073521,Nick Broomfield,6.6,1998,0.0,0.0,0.0
77,2.121884,Peter Landesman,6.9,2015,32199985.8320062,44733666.5571867,12533680.7251805
5812,0.273681,Peter Landesman,5.8,2013,9360333.52740424,611839.137052131,-8748494.390352108
5863,0.215019,Scott Wiper,4.7,2013,0.0,0.0,0.0
7552,0.49989,Scott Wiper,5.8,2007,0.0,9089422.22274571,9089422.22274571
8429,0.1761,Burt Reynolds,5.9,1981,0.0,85399814.3800317,85399814.3800317
7683,0.247661,Tom Kalin,6.1,2007,4837675.48010511,0.0,-4837675.48010511
4663,0.323242,Colin Cairnes,5.5,2012,0.0,0.0,0.0
5911,0.169539,Benjamin Turner,6.6,2013,0.0,0.0,0.0
7751,0.149692,Theo Angelopoulos,7.4,2007,0.0,0.0,0.0
6221,1.444028,Saul Blinkoff,5.9,2005,0.0,0.0,0.0
7157,0.310343,Saul Blinkoff,6.1,2004,0.0,0.0,0.0
2944,1.054819,Martin McDonagh,7.3,2008,15191799.5071375,32411742.7343699,17219943.2272324
4460,0.958518,Martin McDonagh,6.6,2012,14246164.2202836,18446181.3156807,4200017.095397102
7168,0.285626,Martin McDonagh,6.7,2004,230889.079962429,0.0,-230889.079962429
601,0.046453,John Goldschmidt,4.9,2015,0.0,0.0,0.0
263,0.473344,Bernard Rose,4.5,2015,0.0,0.0,0.0
874,0.550625,Bernard Rose,3.3,2014,552654.630462875,0.0,-552654.630462875
2162,0.39567,Bernard Rose,6.2,2010,0.0,850994.0,850994.0
4302,0.404295,Bernard Rose,6.7,1994,0.0,0.0,0.0
5365,0.2817,Bernard Rose,6.0,1997,47546111.2375233,1075669.63603451,-46470441.60148879
5720,0.370238,Bernard Rose,5.0,2013,0.0,10571.5606858503,10571.5606858503
8308,0.397495,Bernard Rose,6.0,1992,9324145.52753373,40081875.3218772,30757729.794343464
9580,0.175236,Bernard Rose,5.5,1988,0.0,444.377736564764,444.377736564764
10617,0.38388,Gordon Hessler,6.3,1973,0.0,54022755.3667924,54022755.3667924
10662,0.330846,Gordon Hessler,6.4,1970,0.0,0.0,0.0
10749,0.141028,Gordon Hessler,5.3,1969,1040246.23520026,0.0,-1040246.23520026
10813,0.073425,Gordon Hessler,4.3,1978,0.0,0.0,0.0
5791,0.293332,George Isaac,4.4,2013,5616200.11644254,0.0,-5616200.11644254
5687,0.431581,Eugenio Mira,5.6,2013,0.0,0.0,0.0
1668,0.360935,Joel Bergvall,5.6,2009,0.0,0.0,0.0
907,0.472728,Joe Dante,5.2,2014,0.0,0.0,0.0
1537,0.582583,Joe Dante,5.7,2009,0.0,0.0,0.0
5021,0.783216,Joe Dante,5.5,2003,94828211.5826022,81214251.5422623,-13613960.040339902
6175,0.150168,Joe Dante,6.1,1985,50679151.3066605,20014299.6293326,-30664851.677327905
7885,2.464803,Joe Dante,6.8,1984,23089462.4311356,321327866.588246,298238404.1571104
8028,0.323585,Joe Dante,6.0,1983,21893119.9775814,64477250.3117032,42584130.33412179
8418,0.265411,Joe Dante,6.3,1981,2398190.80485681,43133603.2097385,40735412.40488169
9011,0.968861,Joe Dante,6.1,1998,53507818.7631319,73148595.3595611,19640776.5964292
9199,0.895389999999999,Joe Dante,6.4,1989,31661728.9027786,64382366.7388612,32720637.836082604
9615,0.822279999999999,Joe Dante,6.3,1987,0.0,49692304.2379629,49692304.2379629
9683,0.207159,Joe Dante,5.8,1987,0.0,0.0,0.0
9997,0.890276,Joe Dante,6.1,1990,83444927.015729,69229594.7113272,-14215332.3044018
10340,0.29896,Joe Dante,6.0,1993,0.0,14389618.6505278,14389618.6505278
10781,0.451009,Joe Dante,5.6,1978,2206182.45864327,0.0,-2206182.45864327
535,0.124481,Kent Jones,7.2,2015,0.0,0.0,0.0
3650,0.388036,Mateo Gil,6.7,2011,0.0,604446.822700975,604446.822700975
6606,1.117768,Mark Palansky,6.4,2006,16225037.3743735,0.0,-16225037.3743735
10396,0.0149919999999999,Richard Williams,6.3,1993,0.0,0.0,0.0
1663,0.369038,Fuminori Kizaki,6.7,2009,0.0,0.0,0.0
7495,0.682626,Fuminori Kizaki,7.2,2007,0.0,0.0,0.0
6430,0.279849,Frank Passingham,5.4,2005,22331265.7930898,0.0,-22331265.7930898
6937,0.062503,Frank Passingham,3.6,2006,0.0,0.0,0.0
1868,0.097705,Abel Ferry,5.5,2009,0.0,0.0,0.0
6604,1.18228,Robert De Niro,5.9,2006,91941878.4547837,64801247.0780059,-27140631.37677779
10256,0.756988,Robert De Niro,7.2,1993,33208339.1573716,26095562.7319111,-7112776.425460499
7973,0.154225,Donald P. Bellisario,4.9,1984,0.0,0.0,0.0
